group,feature,variable,feature_family,window_h,risk_direction,n,fire_mean,control_mean,mean_delta,median_delta,sd_delta,mean_delta_ci_low_t,mean_delta_ci_high_t,date_boot_ci_low,date_boot_ci_high,cell_boot_ci_low,cell_boot_ci_high,cohen_dz,direction_match_pct,paired_t_p,wilcoxon_p,date_n,cell_n,support_flag,paired_t_q,wilcoxon_q,date_ci_excludes_zero,cell_ci_excludes_zero
영동 해안형,press_diff,Pressure Change 3h,Pressure Change,3,lower,354,-0.18666666666666326,-0.16628625235404743,-0.02038041431261584,-0.012000000000023197,0.6287217700954506,-0.08610025968276426,0.04533943105753259,-0.13999990682731003,0.08065181828529275,-0.09027925133960121,0.04922430140783074,-0.032415633245086686,52.54237288135594,0.5423227646858896,0.7059414256250158,165,21,ok,0.5423227646858896,0.754097665411616,False,False
영동 해안형,press_diff_z,Pressure Change 3h (Z),Pressure Change Anomaly,3,lower,354,-0.17604042068410136,-0.06513737393532473,-0.11090304674877663,-0.04746472519131316,1.0870336643580782,-0.22452991276760872,0.0027238192700554664,-0.3854039662437503,0.09943316397519779,-0.2954245760241486,0.03451447820510744,-0.1020235622732694,52.54237288135594,0.055719065321787664,0.10444219461702252,165,21,ok,0.0922246598429589,0.14744780416520825,False,False
영동 해안형,press_diff_pct,Pressure Change 3h (Percentile),Pressure Change Anomaly,3,lower,354,0.46867704046885944,0.4868214290662566,-0.01814438859739714,-0.011505376344086063,0.3178269520300527,-0.0513666168315325,0.015077839636738224,-0.08384428524343171,0.045951380923939446,-0.06581231972279593,0.025751677415665603,-0.05708889218332077,51.9774011299435,0.2835020780761318,0.27154991717177634,165,21,ok,0.32121551133301096,0.31034276248203013,False,False
영서 내륙형,temp,Temperature,Temperature,0,higher,615,8.59879674796748,8.27760650406504,0.3211902439024391,0.6620000000000026,5.390539194646968,-0.10568372485591787,0.7480642126607961,-0.8876167913208228,1.393192241835834,-0.28158283185984795,0.887700584569363,0.059584066139690535,54.95934959349593,0.14001776730985965,0.029293719586538366,208,41,ok,0.1866903564131462,0.05624394160615366,False,False
영서 내륙형,temp_z,Temperature (Z),Temperature Anomaly,0,higher,615,0.13914161831300959,0.03669834277502516,0.10244327553798444,0.17772174422346487,1.1639963811417813,0.010267013220519094,0.19461953785544978,-0.1433673034720744,0.32159635751949844,-0.023053405410493374,0.21626505309153735,0.08800996050992556,54.95934959349593,0.029445202356111144,0.015400843184281558,208,41,ok,0.06424407786787886,0.03360183967479612,False,False
영서 내륙형,temp_pct,Temperature (Percentile),Temperature Anomaly,0,higher,615,0.5497565576674442,0.5206829130260743,0.029073644641370015,0.053333333333333344,0.3359858093744212,0.0024671047915951344,0.055680184491144896,-0.04073367891193526,0.09293124611299247,-0.008967341874272812,0.06322671878012914,0.08653235889784401,54.95934959349593,0.03226968898206185,0.020271741808745882,208,41,ok,0.06734543787560734,0.040543483617491764,False,False
영서 내륙형,press,Pressure,Pressure,0,lower,615,994.387430894309,993.7568162601626,0.6306146341463437,0.05599999999992633,3.7747735138539094,0.33169230136321726,0.9295369669294701,0.024868607532837896,1.096847064026481,-0.007132367212741673,1.4050423163778594,0.16706025721328868,38.048780487804876,3.909478867483077e-05,4.6681217250649734e-08,208,41,ok,0.0001876549856391877,3.2009977543302674e-07,True,False
영서 내륙형,press_z,Pressure (Z),Pressure Anomaly,0,lower,615,0.061543128991638635,-0.11853511886887903,0.18007824786051768,0.28047477292151135,1.112556991525855,0.09197544380074632,0.26818105192028907,-0.023697230808780508,0.3753864410118012,0.024324717270830156,0.3381917327489708,0.1618597961561889,38.21138211382114,6.708134278132746e-05,7.448116152996702e-07,208,41,ok,0.00029271858668215617,3.972328614931574e-06,False,True
영서 내륙형,press_pct,Pressure (Percentile),Pressure Anomaly,0,lower,615,0.5255007798804644,0.47473824082892774,0.05076253905153652,0.08387096774193542,0.31541609457109854,0.025784904117811865,0.07574017398526117,-0.003538929864113411,0.0995181599499692,0.008528456685390377,0.09536154960146499,0.16093832852937706,41.46341463414634,7.370377843069461e-05,3.854539224682567e-05,208,41,ok,0.00029481511372277846,0.00015418156898730267,False,True
영서 내륙형,dtr,Diurnal Temp Range,Temperature Range,24,higher,615,13.460390243902438,12.519595121951218,0.9407951219512194,1.1940000000000008,3.971272360636326,0.6263121486544785,1.2552780952479603,0.33823377577086133,1.5800484605672103,0.5069496690754823,1.319454017043383,0.2369001761945317,60.8130081300813,6.936876490872417e-09,2.4713009812155913e-09,208,41,ok,6.659401431237521e-08,4.212309251404247e-08,True,True
영서 내륙형,dtr_z,Diurnal Temp Range (Z),Temperature Range Anomaly,24,higher,615,0.34910065097260945,0.09398238686607677,0.2551182641065327,0.35622032399987336,1.036756077822176,0.17301809460701675,0.33721843360604864,0.0701904025103011,0.41818878720410974,0.15513639300811252,0.3603725464508773,0.24607356500136235,60.8130081300813,1.8508660600285541e-09,7.516869196304719e-10,208,41,ok,4.652751138363377e-08,3.608097214226265e-08,True,True
영서 내륙형,dtr_pct,Diurnal Temp Range (Percentile),Temperature Range Anomaly,24,higher,615,0.6095245987626454,0.5345802443406716,0.0749443544219739,0.11166666666666669,0.3130529898008597,0.05015385251436014,0.09973485632958767,0.027407148212298536,0.12442391624286264,0.040539295593449605,0.10603434242109076,0.2393983027271126,60.0,4.860989079853328e-09,4.412116867329316e-09,208,41,ok,6.659401431237521e-08,5.2945402407951784e-08,True,True
영서 내륙형,press_diff,Pressure Change 3h,Pressure Change,3,lower,615,-0.265447154471549,-0.16201300813008104,-0.10343414634146791,-0.00599999999999454,0.6557131869366994,-0.1553597293615893,-0.05150856332134654,-0.2036706664538711,-0.009429526254810914,-0.16984092172579368,-0.04531629023644934,-0.15774297116805297,56.09756097560976,0.00010179701271837269,0.0001465910249378595,208,41,ok,0.0003758658931139915,0.0005025977997869469,True,True
영서 내륙형,press_diff_z,Pressure Change 3h (Z),Pressure Change Anomaly,3,lower,615,-0.1742928457158989,0.018404931226852165,-0.1926977769427511,-0.15339776959832851,1.0599448664194484,-0.27663425443703055,-0.10876129944847164,-0.37253429646921515,0.006951139502179668,-0.2813699394510346,-0.10729326096511901,-0.18179981152575858,56.58536585365853,7.82143250197163e-06,3.005879391405781e-05,208,41,ok,4.171430667718203e-05,0.0001311656461704341,False,True
영서 내륙형,press_diff_pct,Pressure Change 3h (Percentile),Pressure Change Anomaly,3,lower,615,0.46420354363442323,0.5126346599258806,-0.04843111629145739,-0.05263157894736831,0.3138428381893324,-0.07328416587827911,-0.02357806670463566,-0.09744656781675813,0.002622314561484702,-0.07278212985019965,-0.01938230761544942,-0.15431646161140145,55.28455284552846,0.00014304210392939356,0.000230602763927625,208,41,ok,0.0004904300706150636,0.0007379288445683999,False,True
고지·산간형,temp,Temperature,Temperature,0,higher,181,7.688121546961326,6.702563535911604,0.9855580110497234,1.284,5.60447834654518,0.16355426083749558,1.8075617612619512,-0.32770847199978287,2.194966347867817,-0.08887315196998126,2.176829387643521,0.17585187239723388,58.5635359116022,0.019052284784096984,0.014000017471585722,101,25,ok,0.045725483481832765,0.032000039935053085,False,False
고지·산간형,temp_z,Temperature (Z),Temperature Anomaly,0,higher,181,0.2685539561742515,0.038593445684566983,0.22996051048968452,0.29422887410536447,1.1554744889175121,0.06048811637288881,0.39943290460648023,-0.04041751605678917,0.48908049103120976,0.02596816086143767,0.47312042174684205,0.19901824981451505,58.5635359116022,0.008102973213382955,0.008788253401788413,101,25,ok,0.02160792856902121,0.02109180816429219,False,True
고지·산간형,temp_pct,Temperature (Percentile),Temperature Anomaly,0,higher,181,0.5904911874232007,0.5280574810757066,0.06243370634749411,0.09999999999999998,0.34905054007689856,0.011238780572879706,0.11362863212210851,-0.021263683633048616,0.138887838020718,0.0009061759692487488,0.12268586855025344,0.17886723892115874,60.22099447513812,0.017121708884629584,0.01771342038861705,101,25,ok,0.043254843498011585,0.03696713820233123,False,True
고지·산간형,press,Pressure,Pressure,0,lower,181,969.5249171270718,970.3267624309394,-0.801845303867399,0.009999999999990905,5.599119339319006,-1.623063053355751,0.019372445620953083,-2.331798706896546,0.575765203628645,-2.8871972098214194,0.6634740421455904,-0.14320918260065585,48.61878453038674,0.05559426844812689,0.7226769293527988,101,25,ok,0.0922246598429589,0.754097665411616,False,False
고지·산간형,press_z,Pressure (Z),Pressure Anomaly,0,lower,181,-0.18841715735130396,-0.08381668829647324,-0.10460046905483074,0.06843131689274762,1.3198637574962018,-0.2981836879283367,0.08898274981867522,-0.45367143588686504,0.23905610410803482,-0.4507600532870082,0.25688220605009227,-0.07925095939694499,48.61878453038674,0.2877555622358223,0.7184361124259098,101,25,ok,0.32121551133301096,0.754097665411616,False,False
고지·산간형,press_pct,Pressure (Percentile),Pressure Anomaly,0,lower,181,0.45192565042976357,0.5003657133387738,-0.048440062909010186,-0.028070175438596467,0.3755785434506161,-0.10352582685097705,0.006645701032956683,-0.1394148257129646,0.04052173117718047,-0.14766914715602228,0.0524684856268048,-0.12897452145154148,53.591160220994475,0.08442142300345017,0.1524684602882134,101,25,ok,0.13071704206985832,0.20329128038428454,False,False
고지·산간형,dtr,Diurnal Temp Range,Temperature Range,24,higher,181,11.751546961325966,11.058508287292817,0.6930386740331491,0.5439999999999996,4.506728539225963,0.03204089130180077,1.3540364567644976,-0.3536286838553763,1.7808430657412255,-0.3123697020868602,1.8152750926383399,0.15377865961995116,54.69613259668509,0.039986522126014626,0.053839252537966634,101,25,ok,0.07677412248194808,0.08432359335854352,False,False
고지·산간형,dtr_z,Diurnal Temp Range (Z),Temperature Range Anomaly,24,higher,181,0.2793810149756321,0.10411989825138852,0.17526111672424358,0.14696221171565912,1.1802833719769596,0.002150026255625326,0.3483722071928618,-0.07487932831210918,0.47199760035577076,-0.07114808633941018,0.4528515566984256,0.1484907106932155,54.69613259668509,0.04725101112132414,0.05445898737739269,101,25,ok,0.08723263591629073,0.08432359335854352,False,False
고지·산간형,dtr_pct,Diurnal Temp Range (Percentile),Temperature Range Anomaly,24,higher,181,0.5870758727810174,0.5297394874903425,0.05733638529067482,0.07096774193548383,0.34072840612626826,0.007362059346088058,0.10731071123526159,-0.01870863895413799,0.13832534885535192,-0.014295722740560526,0.1322811872654195,0.16827591788583343,55.24861878453039,0.02477222461198319,0.03253309418515734,101,25,ok,0.056622227684533,0.060061096957213546,False,False
고지·산간형,press_diff,Pressure Change 3h,Pressure Change,3,lower,181,-0.3118784530386768,-0.23498895027623948,-0.0768895027624373,-0.013999999999987245,0.7342746980299483,-0.1845849059998567,0.03080590047498208,-0.2673581859347086,0.08074963527850866,-0.17467913533835333,-0.006765113636370952,-0.10471490161479223,59.66850828729282,0.1606208930454565,0.04974759278359292,101,25,ok,0.2028895491100503,0.08432359335854352,False,True
고지·산간형,press_diff_z,Pressure Change 3h (Z),Pressure Change Anomaly,3,lower,181,-0.34721688267402323,-0.08905760046548869,-0.25815928220853457,-0.1461593117945926,1.171009811932126,-0.4299102280457848,-0.08640833637128431,-0.5515037715487916,0.007428980682987125,-0.53469927860796,-0.040702526425393765,-0.22045868410152825,59.66850828729282,0.003426809665522071,0.0032336500267716463,101,25,ok,0.009675697879121141,0.009030017268976114,False,True
고지·산간형,press_diff_pct,Pressure Change 3h (Percentile),Pressure Change Anomaly,3,lower,181,0.41698637075669037,0.4886357155587239,-0.07164934480203361,-0.09333333333333327,0.31921815673532855,-0.11846878199979306,-0.024829907604274157,-0.13825105013419425,0.006990449036335561,-0.1325345153885674,-0.01638726358858486,-0.224452598607791,63.53591160220995,0.0028980501139719067,0.0027967455763876123,101,25,ok,0.00869415034191572,0.008390236729162837,False,True
