group,feature,variable,feature_family,window_h,risk_direction,n,fire_mean,control_mean,mean_delta,median_delta,sd_delta,mean_delta_ci_low_t,mean_delta_ci_high_t,date_boot_ci_low,date_boot_ci_high,cell_boot_ci_low,cell_boot_ci_high,cohen_dz,direction_match_pct,paired_t_p,wilcoxon_p,date_n,cell_n,support_flag,paired_t_q,wilcoxon_q,date_ci_excludes_zero,cell_ci_excludes_zero,candidate_priority,abs_cohen_dz
전체,humidity_mean_1h,humidity_mean,hourly_window,1.0,lower,1150,52.544513043478254,57.192728115942025,-4.648215072463768,-4.608999999999998,18.98748119575877,-5.7467762551391806,-3.549653889788355,-7.931753744029835,-1.1059703906334564,-5.9527247706562445,-3.4719884658195284,-0.24480419622493363,62.08695652173913,2.853922596962491e-16,6.961249951141739e-19,282,87,ok,3.2343558848774658e-15,3.77896425919123e-18,True,True,strong_window_candidate,0.24480419622493363
전체,humidity_min_1h,humidity_min,hourly_window,1.0,lower,1150,52.544513043478254,57.192728115942025,-4.648215072463768,-4.608999999999998,18.98748119575877,-5.7467762551391806,-3.549653889788355,-7.612034423750209,-1.1467235300127654,-5.8668518416472475,-3.4564443432914636,-0.24480419622493363,62.08695652173913,2.853922596962491e-16,6.961249951141739e-19,282,87,ok,3.2343558848774658e-15,3.77896425919123e-18,True,True,strong_window_candidate,0.24480419622493363
전체,humidity_min_12h,humidity_min,hourly_window,12.0,lower,1150,45.87670434782608,50.175340579710145,-4.298636231884059,-4.343999999999998,17.570922390076245,-5.315239386485296,-3.2820330772828212,-7.024960227218394,-1.156614150693901,-5.602033377912877,-3.085754509468238,-0.24464488183681551,61.82608695652174,2.979011999229245e-16,7.502988969093803e-19,282,87,ok,3.2343558848774658e-15,3.932601114835372e-18,True,True,strong_window_candidate,0.24464488183681551
전체,humidity_min_72h,humidity_min,hourly_window,72.0,lower,1145,28.944978165938863,31.477221106259094,-2.532242940320233,-2.543999999999997,10.851577175689107,-3.161456298850237,-1.903029581790229,-3.553949769444431,-1.5023404126763666,-3.531571660367705,-1.4751221843326212,-0.23335252556589112,62.620087336244545,6.704653785947588e-15,4.986763577007985e-23,280,87,ok,6.794049169760222e-14,4.2110447983622984e-22,True,True,strong_window_candidate,0.23335252556589112
전체,humidity_mean_72h,humidity_mean,hourly_window,72.0,lower,1145,60.61837409024745,63.18743884036875,-2.5690647501213,-1.6074166666666656,11.939300110940104,-3.261348185024413,-1.8767813152181874,-3.8193636279333973,-1.201360923987852,-4.043579065555572,-1.3819114951676597,-0.21517716501382184,57.554585152838435,6.143279046254947e-13,1.7061774904326968e-12,280,87,ok,4.9146232370039576e-12,5.637803881429781e-12,True,True,weak_window_candidate,0.21517716501382184
전체,rain_sum_72h,rain_sum,hourly_window,72.0,lower,1145,2.322174672489083,5.324910480349345,-3.002735807860262,-0.6099999999999999,14.104114428904056,-3.820542939968564,-2.1849286757519604,-4.508716826623503,-1.814352294241786,-4.000916294925162,-2.0002090031003092,-0.21289786203851624,70.21834061135371,1.058327077775827e-12,4.5879695519622285e-49,280,87,ok,7.660272181996462e-12,1.7434284297456469e-47,True,True,strong_window_candidate,0.21289786203851624
전체,ISI,ISI,canadian_asof,,higher,1150,4.513083765483545,3.8481654646730545,0.6649183008104912,0.3949327296052646,3.1515068899133643,0.4825811545350668,0.8472554470859156,0.2966924966136612,1.056321249118634,0.39252612455486974,0.9207011600449758,0.21098424469215424,55.47826086956522,1.4894867152491322e-12,1.2729804977166401e-09,282,87,ok,1.0290999123539459e-11,3.4552327795165947e-09,True,True,weak_window_candidate,0.21098424469215424
전체,rain_sum_48h,rain_sum,hourly_window,48.0,lower,1149,1.2412271540469975,3.5106704380620832,-2.2694432840150855,-0.44399999999999995,11.362041964015217,-2.927105037728875,-1.611781530301296,-3.19825162289283,-1.290299246604678,-3.00360165526534,-1.4805366448135429,-0.19973903381123317,72.49782419495213,2.0430151842947845e-11,8.929557375648991e-72,281,87,ok,1.1943781077415662e-10,6.786463605493232e-70,True,True,strong_window_candidate,0.19973903381123317
전체,FWI,FWI,canadian_asof,,higher,1150,8.739763453250678,7.526482449170599,1.2132810040800786,0.5238236541731403,6.158325557682547,0.8569779569197673,1.5695840512403898,0.5228511548110272,1.98077379868624,0.698579635884222,1.8449737981746348,0.19701475550712053,54.869565217391305,3.687908556527538e-11,3.064463265907105e-08,282,87,ok,1.9657764174027374e-10,7.545911224683785e-08,True,True,descriptive_only,0.19701475550712053
전체,rain_sum_12h,rain_sum,hourly_window,12.0,lower,1150,0.31383478260869563,0.8921663768115943,-0.5783315942028985,-0.006,3.6486993619826964,-0.7894348703563502,-0.3672283180494468,-0.8866431447344568,-0.22002194972120212,-0.8305758549525366,-0.32571161187698855,-0.15850349311559453,53.130434782608695,9.263015881310392e-08,1.4174076188007372e-56,282,87,ok,2.7607419881552543e-07,7.181531935257068e-55,True,True,descriptive_only,0.15850349311559453
전체,rain_sum_6h,rain_sum,hourly_window,6.0,lower,1150,0.16578260869565217,0.42906608695652176,-0.2632834782608695,0.0,1.9643105006570294,-0.3769328477846972,-0.1496341087370418,-0.4409694837313861,-0.040746773700428354,-0.3966587728612172,-0.13645546396902708,-0.13403353399210843,43.73913043478261,6.065875569127659e-06,4.858379270307877e-45,282,87,ok,1.2805737312602835e-05,1.230789415144662e-43,True,True,descriptive_only,0.13403353399210843
