fire_exposure_id,기상셀ID,기준시각,기후지형유형,date,month,hour,matched_control_n,full_5_matched,is_ys0071,is_less_than_5_matched,is_2021_feb_cluster,control_row_n,fire_value,control_mean,feature,variable,window_h,risk_direction,feature_family,delta,risk_direction_match
FE_00041,YD_0001,2021-04-22 11:00:00,영동 해안형,2021-04-22,4,11,5,True,False,False,False,5,65.01,42.872,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,22.138000000000005,False
FE_00042,YD_0001,2021-04-23 13:00:00,영동 해안형,2021-04-23,4,13,5,True,False,False,False,5,79.75,52.448,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,27.302,False
FE_00043,YD_0001,2021-05-06 14:00:00,영동 해안형,2021-05-06,5,14,5,True,False,False,False,5,28.8,60.176,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-31.376,True
FE_00044,YD_0002,2020-01-25 09:00:00,영동 해안형,2020-01-25,1,9,5,True,False,False,False,5,87.89,62.48,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,25.410000000000004,False
FE_00045,YD_0002,2020-03-05 16:00:00,영동 해안형,2020-03-05,3,16,5,True,False,False,False,5,43.16,53.826,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-10.666000000000004,True
FE_00046,YD_0002,2020-05-01 20:00:00,영동 해안형,2020-05-01,5,20,5,True,False,False,False,5,44.76,60.052,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-15.292000000000002,True
FE_00047,YD_0002,2020-05-01 21:00:00,영동 해안형,2020-05-01,5,21,5,True,False,False,False,5,46.71,74.97,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-28.259999999999998,True
FE_00048,YD_0002,2021-01-06 13:00:00,영동 해안형,2021-01-06,1,13,5,True,False,False,False,5,22.66,60.842000000000006,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-38.182,True
FE_00049,YD_0002,2021-01-29 15:00:00,영동 해안형,2021-01-29,1,15,5,True,False,False,False,5,22.39,48.952,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-26.561999999999998,True
FE_00050,YD_0002,2021-01-30 09:00:00,영동 해안형,2021-01-30,1,9,5,True,False,False,False,5,67.2,47.076,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,20.124000000000002,False
FE_00051,YD_0002,2021-02-06 15:00:00,영동 해안형,2021-02-06,2,15,5,True,False,False,True,5,45.52,45.888,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-0.367999999999995,True
FE_00052,YD_0002,2021-02-27 09:00:00,영동 해안형,2021-02-27,2,9,5,True,False,False,True,5,93.52,58.79200000000001,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,34.72799999999999,False
FE_00053,YD_0002,2021-02-27 14:00:00,영동 해안형,2021-02-27,2,14,5,True,False,False,True,5,91.5,38.982,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,52.518,False
FE_00054,YD_0002,2021-03-13 16:00:00,영동 해안형,2021-03-13,3,16,5,True,False,False,False,5,56.57,39.14,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,17.43,False
FE_00055,YD_0002,2021-03-14 14:00:00,영동 해안형,2021-03-14,3,14,5,True,False,False,False,5,61.39,56.352,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,5.038000000000004,False
FE_00056,YD_0002,2021-03-27 09:00:00,영동 해안형,2021-03-27,3,9,5,True,False,False,False,5,76.16,57.238,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,18.921999999999997,False
FE_00057,YD_0002,2021-04-24 09:00:00,영동 해안형,2021-04-24,4,9,5,True,False,False,False,5,78.0,55.902,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,22.098,False
FE_00058,YD_0002,2021-05-08 15:00:00,영동 해안형,2021-05-08,5,15,5,True,False,False,False,5,35.52,61.666,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-26.145999999999994,True
FE_00059,YD_0003,2020-01-31 14:00:00,영동 해안형,2020-01-31,1,14,5,True,False,False,False,5,58.62,56.593999999999994,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,2.0260000000000034,False
FE_00060,YD_0003,2020-02-01 19:00:00,영동 해안형,2020-02-01,2,19,5,True,False,False,False,5,45.66,53.064,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-7.4040000000000035,True
FE_00061,YD_0003,2020-02-07 17:00:00,영동 해안형,2020-02-07,2,17,5,True,False,False,False,5,36.46,58.21,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-21.75,True
FE_00062,YD_0003,2020-03-26 05:00:00,영동 해안형,2020-03-26,3,5,5,True,False,False,False,5,52.74,61.251999999999995,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-8.511999999999993,True
FE_00063,YD_0003,2020-06-23 20:00:00,영동 해안형,2020-06-23,6,20,5,True,False,False,False,5,80.71,71.28999999999999,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,9.420000000000002,False
FE_00064,YD_0003,2020-10-14 09:00:00,영동 해안형,2020-10-14,10,9,5,True,False,False,False,5,53.97,66.538,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-12.567999999999998,True
FE_00065,YD_0003,2020-10-14 10:00:00,영동 해안형,2020-10-14,10,10,5,True,False,False,False,5,62.39,53.931999999999995,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,8.458000000000006,False
FE_00066,YD_0003,2020-10-14 11:00:00,영동 해안형,2020-10-14,10,11,5,True,False,False,False,5,62.23,54.31,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,7.919999999999995,False
FE_00067,YD_0003,2020-10-14 14:00:00,영동 해안형,2020-10-14,10,14,5,True,False,False,False,5,47.91,57.220000000000006,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-9.31000000000001,True
FE_00068,YD_0003,2020-10-14 15:00:00,영동 해안형,2020-10-14,10,15,5,True,False,False,False,5,51.19,61.708000000000006,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-10.518000000000008,True
FE_00069,YD_0003,2020-10-15 09:00:00,영동 해안형,2020-10-15,10,9,5,True,False,False,False,5,58.26,46.434,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,11.826,False
FE_00070,YD_0003,2020-10-15 10:00:00,영동 해안형,2020-10-15,10,10,5,True,False,False,False,5,56.25,63.134,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-6.884,True
FE_00071,YD_0003,2020-10-15 11:00:00,영동 해안형,2020-10-15,10,11,5,True,False,False,False,5,53.61,50.074,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,3.5360000000000014,False
FE_00072,YD_0003,2020-10-15 13:00:00,영동 해안형,2020-10-15,10,13,5,True,False,False,False,5,52.4,48.14,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,4.259999999999998,False
FE_00073,YD_0003,2020-10-15 14:00:00,영동 해안형,2020-10-15,10,14,5,True,False,False,False,5,53.28,51.94199999999999,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,1.338000000000008,False
FE_00074,YD_0003,2020-10-15 15:00:00,영동 해안형,2020-10-15,10,15,5,True,False,False,False,5,53.33,46.42999999999999,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,6.900000000000006,False
FE_00075,YD_0003,2020-10-15 16:00:00,영동 해안형,2020-10-15,10,16,5,True,False,False,False,5,57.75,56.974000000000004,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,0.7759999999999962,False
FE_00076,YD_0003,2020-10-16 09:00:00,영동 해안형,2020-10-16,10,9,5,True,False,False,False,5,68.12,59.839999999999996,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,8.280000000000008,False
FE_00077,YD_0003,2020-10-16 10:00:00,영동 해안형,2020-10-16,10,10,5,True,False,False,False,5,62.43,60.936,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,1.4939999999999998,False
FE_00078,YD_0003,2020-10-16 14:00:00,영동 해안형,2020-10-16,10,14,5,True,False,False,False,5,52.75,51.007999999999996,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,1.7420000000000044,False
FE_00079,YD_0003,2020-10-16 15:00:00,영동 해안형,2020-10-16,10,15,5,True,False,False,False,5,52.25,42.745999999999995,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,9.504000000000005,False
FE_00080,YD_0003,2020-10-16 16:00:00,영동 해안형,2020-10-16,10,16,5,True,False,False,False,5,54.78,53.620000000000005,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,1.1599999999999966,False
FE_00081,YD_0003,2020-10-19 08:00:00,영동 해안형,2020-10-19,10,8,5,True,False,False,False,5,72.57,69.296,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,3.2739999999999867,False
FE_00082,YD_0003,2020-10-19 09:00:00,영동 해안형,2020-10-19,10,9,5,True,False,False,False,5,66.4,68.50800000000001,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-2.108000000000004,True
