group,condition,n,fire_condition_rate,control_condition_rate,matched_risk_diff,date_boot_ci_low,date_boot_ci_high,matched_prevalence_ratio,matched_or_approx,paired_t_p,date_n,cell_n,support_flag,paired_t_q
전체,dry_spell_1p0_gt_24h,1150,0.9408695652173913,0.8953333333333332,0.04553623188405796,0.0041136252587439855,0.08360766559384014,1.0508595292254639,1.8541737917846859,2.526176671768921e-08,282,87,ok,1.0104706687075684e-07
고지·산간형,dry_spell_1p0_gt_24h,181,0.8839779005524862,0.9127071823204419,-0.028729281767955805,-0.14114879339269581,0.05771978021978019,0.968523002455795,0.7343475881040271,0.25807129473398116,101,25,ok,0.2921561827177145
영동 해안형,dry_spell_1p0_gt_24h,354,0.9576271186440678,0.9023540489642187,0.05527306967984933,0.02128658789386401,0.08143373675337186,1.0612543044296647,2.4007286464249886,2.7483595986787416e-05,165,21,ok,6.34236830464325e-05
영서 내륙형,dry_spell_1p0_gt_24h,615,0.9479674796747968,0.8861788617886179,0.06178861788617885,0.005279339347715266,0.10468421955403084,1.0697247705635216,2.3203412536134813,1.5196870750597345e-08,208,41,ok,6.512944607398862e-08
전체,dry_spell_1p0_gt_48h,1150,0.8956521739130435,0.8252753623188406,0.07037681159420289,0.01904565508187274,0.12152149877149876,1.085276763032381,1.8141234110281366,1.2515678788103175e-10,282,87,ok,8.34378585873545e-10
고지·산간형,dry_spell_1p0_gt_48h,181,0.8397790055248618,0.8464088397790055,-0.00662983425414365,-0.13905239533401678,0.10375776397515525,0.9921671018369305,0.9518322066980581,0.8277294132958081,101,25,ok,0.8277294132958081
영동 해안형,dry_spell_1p0_gt_48h,354,0.9265536723163842,0.8267419962335217,0.09981167608286251,0.05104780361757105,0.1453797804224519,1.120728929238936,2.6145537237066505,7.564888532974116e-08,165,21,ok,2.669960658696747e-07
영서 내륙형,dry_spell_1p0_gt_48h,615,0.8943089430894309,0.818211382113821,0.07609756097560975,0.003493716650027105,0.14374796274089774,1.0930047693616893,1.873802563321498,3.50937617065177e-07,208,41,ok,1.1082240538900325e-06
전체,dry_spell_1p0_gt_72h,1150,0.8269565217391305,0.7626666666666666,0.06428985507246376,-0.0035803430076150563,0.13349957881839414,1.0842961385334366,1.4860630323862996,1.0206240826685958e-06,282,87,ok,2.783520225459807e-06
고지·산간형,dry_spell_1p0_gt_72h,181,0.7513812154696132,0.7845303867403315,-0.033149171270718245,-0.16787731646471848,0.09906862745098034,0.9577464789270977,0.831578947368421,0.35319721919325947,101,25,ok,0.3717865465192205
영동 해안형,dry_spell_1p0_gt_72h,354,0.867231638418079,0.7725047080979284,0.09472693032015066,0.03951183473389355,0.14413928155740782,1.1226231105189837,1.914773855187915,6.19801079230612e-06,165,21,ok,1.6168723806015966e-05
