group,condition,n,fire_condition_rate,control_condition_rate,matched_risk_diff,date_boot_ci_low,date_boot_ci_high,matched_prevalence_ratio,matched_or_approx,paired_t_p,date_n,cell_n,support_flag,paired_t_q
고지·산간형,rh_le_20,181,0.04419889502762431,0.04419889502762432,1.533457216333089e-18,-0.04519050198627663,0.049624069983724685,0.9999999999999997,0.9999999999999996,0.9999999999999999,101,25,ok,0.9999999999999999
고지·산간형,rh_le_30,181,0.1712707182320442,0.13812154696132597,0.03314917127071824,-0.04976392572944297,0.10677960774453103,1.2399999982624,1.2845417236662107,0.2627065287984291,101,25,ok,0.3393292663646376
고지·산간형,rh_le_40,181,0.34806629834254144,0.29337016574585634,0.05469613259668508,-0.046791791323859404,0.16269744083654375,1.1864406773305882,1.283676553939165,0.11095515078132734,101,25,ok,0.1599818453126115
고지·산간형,ah_le_2,181,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,101,25,ok,
고지·산간형,ah_le_3,181,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,101,25,ok,
고지·산간형,ah_le_4,181,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,101,25,ok,
고지·산간형,vpd_ge_0p5,181,0.43646408839779005,0.4248618784530387,0.01160220994475138,-0.06829690346083789,0.1006534055142893,1.0273081923934617,1.048175458498771,0.7122901431804434,101,25,ok,0.7485082860540252
고지·산간형,vpd_ge_1p0,181,0.22099447513812154,0.1425414364640884,0.07845303867403315,-0.002680641365107386,0.1729605692649171,1.5503875930379785,1.694460492549947,0.017849595352173044,101,25,ok,0.034583590994835274
고지·산간형,vpd_ge_1p5,181,0.0718232044198895,0.027624309392265192,0.04419889502762431,0.004847037733631129,0.09396614621333721,2.599999942080002,2.571081737253844,0.020930202883893037,101,25,ok,0.03932341147882934
고지·산간형,rh_local_q05,181,0.09944751381215469,0.06850828729281769,0.030939226519337015,-0.02808848836156145,0.12287505312367192,1.4516128966337147,1.4832278405992934,0.20115079413828324,101,25,ok,0.2771410941460791
고지·산간형,rh_local_q10,181,0.14917127071823205,0.143646408839779,0.0055248618784530384,-0.0814636246233319,0.10829112787356318,1.0384615381937872,1.0444525859437015,0.8606844327535392,101,25,ok,0.8893739138453238
고지·산간형,rh_local_q20,181,0.287292817679558,0.24972375690607737,0.03756906077348067,-0.07326309615769748,0.15161290322580637,1.1504424772736705,1.2091194038677622,0.3260927249682107,101,25,ok,0.3964264499613542
고지·산간형,ah_local_q05,181,0.07734806629834254,0.06077348066298342,0.016574585635359112,-0.03678337696335078,0.08750717703349281,1.2727272682396695,1.2834523036988967,0.44373016525817677,101,25,ok,0.5094679675186474
고지·산간형,ah_local_q10,181,0.143646408839779,0.1149171270718232,0.028729281767955802,-0.05200292293434091,0.12332863113897595,1.2499999978245193,1.2857358513352355,0.3150366653423143,101,25,ok,0.39064546502446973
고지·산간형,ah_local_q20,181,0.22099447513812154,0.20441988950276244,0.016574585635359122,-0.0841193590112101,0.1312254025044723,1.081081080684441,1.1028975265017669,0.6393901958695586,101,25,ok,0.694451538655667
고지·산간형,vpd_local_q80,181,0.3314917127071823,0.27458563535911606,0.05690607734806629,-0.06583791208791208,0.18284638554216867,1.2072434600098374,1.307346744708409,0.17711814715876345,101,25,ok,0.2495755709964394
