analysis_id,fire_exposure_id,sample_group,target,기상셀ID,기준시각,기후지형유형,date,month,hour,rh_mean_3h_drop_le_m5,rh_mean_3h_drop_le_m10,rh_mean_6h_drop_le_m5,rh_mean_6h_drop_le_m10,rh_min_6h_drop_le_m10,wind_mean_3h_inc_ge_0p5,wind_max_6h_inc_ge_1p0,pressure_abs_change_3h_ge_1p0,ffmc_1d_change_ge_3,isi_1d_change_ge_0p5
FE_00087,FE_00087,fire,1,YD_0003,2020-11-02 08:00:00,영동 해안형,2020-11-02,11,8,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
FE_00088,FE_00088,fire,1,YD_0003,2020-12-15 10:00:00,영동 해안형,2020-12-15,12,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FE_00089,FE_00089,fire,1,YD_0003,2021-01-17 15:00:00,영동 해안형,2021-01-17,1,15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
FE_00090,FE_00090,fire,1,YD_0003,2021-01-29 12:00:00,영동 해안형,2021-01-29,1,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
FE_00091,FE_00091,fire,1,YD_0003,2021-02-02 13:00:00,영동 해안형,2021-02-02,2,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
FE_00092,FE_00092,fire,1,YD_0003,2021-02-03 10:00:00,영동 해안형,2021-02-03,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
FE_00093,FE_00093,fire,1,YD_0003,2021-02-03 11:00:00,영동 해안형,2021-02-03,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FE_00094,FE_00094,fire,1,YD_0003,2021-02-09 10:00:00,영동 해안형,2021-02-09,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FE_00095,FE_00095,fire,1,YD_0003,2021-02-13 12:00:00,영동 해안형,2021-02-13,2,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00096,FE_00096,fire,1,YD_0003,2021-02-17 17:00:00,영동 해안형,2021-02-17,2,17,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
FE_00097,FE_00097,fire,1,YD_0003,2021-02-27 10:00:00,영동 해안형,2021-02-27,2,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
FE_00098,FE_00098,fire,1,YD_0003,2021-04-01 16:00:00,영동 해안형,2021-04-01,4,16,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
FE_00099,FE_00099,fire,1,YD_0004,2020-01-30 14:00:00,영동 해안형,2020-01-30,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00100,FE_00100,fire,1,YD_0004,2020-05-01 23:00:00,영동 해안형,2020-05-01,5,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
FE_00101,FE_00101,fire,1,YD_0004,2020-10-25 15:00:00,영동 해안형,2020-10-25,10,15,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
FE_00102,FE_00102,fire,1,YD_0004,2020-10-27 06:00:00,영동 해안형,2020-10-27,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00103,FE_00103,fire,1,YD_0004,2020-11-08 18:00:00,영동 해안형,2020-11-08,11,18,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
FE_00104,FE_00104,fire,1,YD_0004,2020-11-23 10:00:00,영동 해안형,2020-11-23,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FE_00105,FE_00105,fire,1,YD_0004,2021-01-25 16:00:00,영동 해안형,2021-01-25,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
FE_00106,FE_00106,fire,1,YD_0004,2021-01-26 09:00:00,영동 해안형,2021-01-26,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FE_00107,FE_00107,fire,1,YD_0004,2021-02-01 13:00:00,영동 해안형,2021-02-01,2,13,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
FE_00108,FE_00108,fire,1,YD_0004,2021-02-06 08:00:00,영동 해안형,2021-02-06,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00109,FE_00109,fire,1,YD_0004,2021-02-07 08:00:00,영동 해안형,2021-02-07,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00110,FE_00110,fire,1,YD_0004,2021-03-26 08:00:00,영동 해안형,2021-03-26,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00111,FE_00111,fire,1,YD_0004,2021-04-09 05:00:00,영동 해안형,2021-04-09,4,5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
FE_00112,FE_00112,fire,1,YD_0005,2020-02-03 09:00:00,영동 해안형,2020-02-03,2,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
FE_00113,FE_00113,fire,1,YD_0005,2020-02-12 07:00:00,영동 해안형,2020-02-12,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FE_00114,FE_00114,fire,1,YD_0005,2020-03-28 19:00:00,영동 해안형,2020-03-28,3,19,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00115,FE_00115,fire,1,YD_0005,2020-04-10 12:00:00,영동 해안형,2020-04-10,4,12,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
FE_00116,FE_00116,fire,1,YD_0005,2020-11-18 13:00:00,영동 해안형,2020-11-18,11,13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FE_00117,FE_00117,fire,1,YD_0005,2020-12-06 22:00:00,영동 해안형,2020-12-06,12,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00118,FE_00118,fire,1,YD_0005,2020-12-15 14:00:00,영동 해안형,2020-12-15,12,14,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
FE_00119,FE_00119,fire,1,YD_0005,2021-01-25 21:00:00,영동 해안형,2021-01-25,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FE_00120,FE_00120,fire,1,YD_0005,2021-01-29 14:00:00,영동 해안형,2021-01-29,1,14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
FE_00121,FE_00121,fire,1,YD_0005,2021-01-29 15:00:00,영동 해안형,2021-01-29,1,15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
FE_00122,FE_00122,fire,1,YD_0005,2021-01-29 23:00:00,영동 해안형,2021-01-29,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
FE_00123,FE_00123,fire,1,YD_0005,2021-01-30 12:00:00,영동 해안형,2021-01-30,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00124,FE_00124,fire,1,YD_0005,2021-01-30 13:00:00,영동 해안형,2021-01-30,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00125,FE_00125,fire,1,YD_0005,2021-02-01 10:00:00,영동 해안형,2021-02-01,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FE_00126,FE_00126,fire,1,YD_0005,2021-02-02 11:00:00,영동 해안형,2021-02-02,2,11,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
FE_00127,FE_00127,fire,1,YD_0005,2021-02-11 17:00:00,영동 해안형,2021-02-11,2,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FE_00128,FE_00128,fire,1,YD_0005,2021-02-11 18:00:00,영동 해안형,2021-02-11,2,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FE_00129,FE_00129,fire,1,YD_0005,2021-02-13 16:00:00,영동 해안형,2021-02-13,2,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FE_00130,FE_00130,fire,1,YD_0005,2021-02-14 14:00:00,영동 해안형,2021-02-14,2,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FE_00131,FE_00131,fire,1,YD_0005,2021-02-18 11:00:00,영동 해안형,2021-02-18,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FE_00132,FE_00132,fire,1,YD_0005,2021-02-20 12:00:00,영동 해안형,2021-02-20,2,12,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
FE_00133,FE_00133,fire,1,YD_0005,2021-02-21 08:00:00,영동 해안형,2021-02-21,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FE_00134,FE_00134,fire,1,YD_0005,2021-02-21 16:00:00,영동 해안형,2021-02-21,2,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FE_00135,FE_00135,fire,1,YD_0005,2021-02-25 11:00:00,영동 해안형,2021-02-25,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00136,FE_00136,fire,1,YD_0005,2021-02-25 15:00:00,영동 해안형,2021-02-25,2,15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00137,FE_00137,fire,1,YD_0005,2021-03-19 11:00:00,영동 해안형,2021-03-19,3,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00138,FE_00138,fire,1,YD_0005,2021-03-26 22:00:00,영동 해안형,2021-03-26,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00139,FE_00139,fire,1,YD_0005,2021-04-02 08:00:00,영동 해안형,2021-04-02,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00140,FE_00140,fire,1,YD_0005,2021-04-20 17:00:00,영동 해안형,2021-04-20,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00141,FE_00141,fire,1,YD_0005,2021-04-27 16:00:00,영동 해안형,2021-04-27,4,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FE_00142,FE_00142,fire,1,YD_0005,2021-05-20 08:00:00,영동 해안형,2021-05-20,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
