analysis_id,fire_exposure_id,control_rank,sample_group,target,기상셀ID,기준시각,기후지형유형,month,hour,date,temp,rh,ah,vpd,rh_z,rh_pct,ah_z,ah_pct,vpd_z,vpd_pct
FE_00578_C02,FE_00578,2.0,matched_control,0,YS_0010,2021-03-05 16:00:00,영서 내륙형,3,16,2021-03-05,16.59,36.04,0.5088758596343322,1.2074942358623826,0.013134927241823665,0.6774193548387096,0.6686831463935875,0.8064516129032258,0.22546132865641358,0.5806451612903226
FE_00578_C03,FE_00578,3.0,matched_control,0,YS_0010,2021-03-23 16:00:00,영서 내륙형,3,16,2021-03-23,16.29,21.08,0.29231726055923607,1.4617414703328206,-0.6304418141916844,0.31451612903225806,-0.45648390983975545,0.41935483870967744,0.6656706603164505,0.7258064516129032
FE_00578_C04,FE_00578,4.0,matched_control,0,YS_0010,2021-03-27 16:00:00,영서 내륙형,3,16,2021-03-27,11.5,91.95,0.9498620417042025,0.10923377845884752,2.4183739388425884,0.967741935483871,2.959901903987578,0.9838709677419355,-1.67609131929764,0.06451612903225806
FE_00578_C05,FE_00578,5.0,matched_control,0,YS_0010,2021-03-28 16:00:00,영서 내륙형,3,16,2021-03-28,9.89,89.03,0.830836802993968,0.13371338534264465,2.292756018723214,0.9354838709677419,2.341486020115773,0.967741935483871,-1.6337067820260271,0.0967741935483871
FE_00579_C01,FE_00579,1.0,matched_control,0,YS_0010,2021-04-06 05:00:00,영서 내륙형,4,5,2021-04-06,4.07,82.02,0.5239731069241139,0.14694153339602267,0.3986391655621806,0.6666666666666666,-0.18360979248788667,0.48333333333333334,-0.4660511505426706,0.35
FE_00579_C02,FE_00579,2.0,matched_control,0,YS_0010,2021-04-08 05:00:00,영서 내륙형,4,5,2021-04-08,4.67,75.06,0.49904906837587776,0.21258652549881873,-0.12416629747018672,0.45,-0.3411360059949132,0.38333333333333336,-0.08601604540170606,0.5833333333333334
FE_00579_C03,FE_00579,3.0,matched_control,0,YS_0010,2021-04-15 05:00:00,영서 내륙형,4,5,2021-04-15,1.38,87.02,0.46359423142178735,0.08760412084252966,0.774217802798077,0.75,-0.5652195230011131,0.25,-0.8095701166695475,0.2
FE_00579_C04,FE_00579,4.0,matched_control,0,YS_0010,2021-04-21 05:00:00,영서 내륙형,4,5,2021-04-21,8.28,86.0,0.7240215500898062,0.15307087216196635,0.6975997608019544,0.7333333333333333,1.0807468529602173,0.8833333333333333,-0.4305668915345751,0.38333333333333336
FE_00579_C05,FE_00579,5.0,matched_control,0,YS_0010,2021-04-27 05:00:00,영서 내륙형,4,5,2021-04-27,7.69,76.07,0.6164875112888848,0.25133537470569633,-0.04829941274853633,0.48333333333333334,0.40110459022484696,0.7333333333333333,0.1383106322429071,0.6166666666666667
FE_00580_C01,FE_00580,1.0,matched_control,0,YS_0010,2021-04-08 13:00:00,영서 내륙형,4,13,2021-04-08,16.5,29.97,0.4208844255341517,1.314543191881833,-0.07931685368481033,0.6583333333333333,-0.030210067531783902,0.6166666666666667,-0.10856133906778076,0.5166666666666667
FE_00580_C02,FE_00580,2.0,matched_control,0,YS_0010,2021-04-09 13:00:00,영서 내륙형,4,13,2021-04-09,14.08,35.06,0.4250322330287474,1.0435016165231006,0.22211877492819498,0.7666666666666667,-0.007556053952735197,0.6333333333333333,-0.5612111588463966,0.2833333333333333
FE_00580_C03,FE_00580,3.0,matched_control,0,YS_0010,2021-04-11 13:00:00,영서 내륙형,4,13,2021-04-11,22.26,21.05,0.4147604115771488,2.1206237073435226,-0.6075694680714517,0.2833333333333333,-0.06365749620849714,0.6,1.2376240185396898,0.9166666666666666
FE_00580_C04,FE_00580,4.0,matched_control,0,YS_0010,2021-04-13 13:00:00,영서 내륙형,4,13,2021-04-13,14.69,59.04,0.7429748998339671,0.6846679142928797,1.6422418346806236,0.8833333333333333,1.728946303147729,0.9666666666666667,-1.1604771955421573,0.13333333333333333
FE_00580_C05,FE_00580,5.0,matched_control,0,YS_0010,2021-04-15 13:00:00,영서 내륙형,4,13,2021-04-15,16.3,20.06,0.2783405821558529,1.4815775514965552,-0.6661984017309558,0.23333333333333334,-0.8087394876432954,0.15,0.1703924438578486,0.6166666666666667
FE_00581_C01,FE_00581,1.0,matched_control,0,YS_0010,2021-04-07 14:00:00,영서 내륙형,4,14,2021-04-07,19.6,17.05,0.287871422993295,1.8920323340625962,-0.7512113056461969,0.16666666666666666,-0.7010055989154106,0.23333333333333334,0.716970849091262,0.8
FE_00581_C02,FE_00581,2.0,matched_control,0,YS_0010,2021-04-11 14:00:00,영서 내륙형,4,14,2021-04-11,23.16,22.03,0.4570172177979717,2.211734520194648,-0.4841663843728683,0.3333333333333333,0.16608118348197898,0.7333333333333333,1.208437175004296,0.95
FE_00581_C03,FE_00581,3.0,matched_control,0,YS_0010,2021-04-13 14:00:00,영서 내륙형,4,14,2021-04-13,15.79,46.11,0.6203893031441275,0.966776576402541,0.8070869698965599,0.8166666666666667,1.0035703801831508,0.8333333333333334,-0.7053905468337639,0.2833333333333333
FE_00581_C04,FE_00581,4.0,matched_control,0,YS_0010,2021-04-20 14:00:00,영서 내륙형,4,14,2021-04-20,24.51,17.97,0.4024644359395556,2.5235604372320886,-0.7018777057322487,0.2,-0.11357103102955113,0.55,1.687795604250548,0.9666666666666667
FE_00581_C05,FE_00581,5.0,matched_control,0,YS_0010,2021-04-21 14:00:00,영서 내륙형,4,14,2021-04-21,28.59,14.97,0.4205365204072263,3.3260446142068876,-0.8627481402342537,0.05,-0.02092867128078167,0.5833333333333334,2.9214247978221124,1.0
FE_00582_C01,FE_00582,1.0,matched_control,0,YS_0010,2021-05-09 13:00:00,영서 내륙형,5,13,2021-05-09,19.3,32.94,0.5464409442607995,1.501329097364128,-0.811070290474387,0.25806451612903225,-1.2260040036171984,0.14516129032258066,0.21635509833652014,0.5645161290322581
FE_00582_C02,FE_00582,2.0,matched_control,0,YS_0010,2021-05-11 13:00:00,영서 내륙형,5,13,2021-05-11,24.39,28.93,0.6435549847571134,2.1707508897485726,-0.9757147449489671,0.1774193548387097,-0.8868912358827011,0.20967741935483872,1.010740027004779,0.8548387096774194
FE_00582_C03,FE_00582,3.0,matched_control,0,YS_0010,2021-05-17 13:00:00,영서 내륙형,5,13,2021-05-17,15.3,95.0,1.2407617853094937,0.08692534840126398,1.7370181994738547,0.9193548387096774,1.1984967266629265,0.9193548387096774,-1.4620799840139471,0.0967741935483871
FE_00582_C04,FE_00582,4.0,matched_control,0,YS_0010,2021-05-29 13:00:00,영서 내륙형,5,13,2021-05-29,19.89,39.14,0.6721664725256552,1.4133703203094434,-0.5565077922842628,0.3870967741935484,-0.786982708170272,0.24193548387096775,0.1119767712022203,0.4838709677419355
