analysis_id,fire_exposure_id,control_rank,sample_group,target,기상셀ID,기준시각,기후지형유형,month,hour,date,matched_control_n,full_5_matched,is_less_than_5_matched,is_february,is_2021_feb_cluster,is_ys0071,has_exact_hourly_row
FE_00082,FE_00082,,fire,1,YD_0003,2020-10-19 09:00:00,영동 해안형,10,9,2020-10-19,5,True,False,False,False,False,True
FE_00083,FE_00083,,fire,1,YD_0003,2020-10-19 10:00:00,영동 해안형,10,10,2020-10-19,5,True,False,False,False,False,True
FE_00084,FE_00084,,fire,1,YD_0003,2020-10-19 13:00:00,영동 해안형,10,13,2020-10-19,5,True,False,False,False,False,True
FE_00085,FE_00085,,fire,1,YD_0003,2020-10-19 14:00:00,영동 해안형,10,14,2020-10-19,5,True,False,False,False,False,True
FE_00086,FE_00086,,fire,1,YD_0003,2020-10-30 18:00:00,영동 해안형,10,18,2020-10-30,5,True,False,False,False,False,True
FE_00087,FE_00087,,fire,1,YD_0003,2020-11-02 08:00:00,영동 해안형,11,8,2020-11-02,5,True,False,False,False,False,True
FE_00088,FE_00088,,fire,1,YD_0003,2020-12-15 10:00:00,영동 해안형,12,10,2020-12-15,5,True,False,False,False,False,True
FE_00089,FE_00089,,fire,1,YD_0003,2021-01-17 15:00:00,영동 해안형,1,15,2021-01-17,5,True,False,False,False,False,True
FE_00090,FE_00090,,fire,1,YD_0003,2021-01-29 12:00:00,영동 해안형,1,12,2021-01-29,5,True,False,False,False,False,True
FE_00091,FE_00091,,fire,1,YD_0003,2021-02-02 13:00:00,영동 해안형,2,13,2021-02-02,5,True,False,True,True,False,True
FE_00092,FE_00092,,fire,1,YD_0003,2021-02-03 10:00:00,영동 해안형,2,10,2021-02-03,5,True,False,True,True,False,True
FE_00093,FE_00093,,fire,1,YD_0003,2021-02-03 11:00:00,영동 해안형,2,11,2021-02-03,5,True,False,True,True,False,True
FE_00094,FE_00094,,fire,1,YD_0003,2021-02-09 10:00:00,영동 해안형,2,10,2021-02-09,5,True,False,True,True,False,True
FE_00095,FE_00095,,fire,1,YD_0003,2021-02-13 12:00:00,영동 해안형,2,12,2021-02-13,5,True,False,True,True,False,True
