group,feature,variable,risk_direction,unit,n,fire_mean,control_mean,mean_delta,median_delta,sd_delta,mean_delta_ci_low_t,mean_delta_ci_high_t,date_boot_ci_low,date_boot_ci_high,cell_boot_ci_low,cell_boot_ci_high,cohen_dz,direction_match_pct,paired_t_p,wilcoxon_p,date_n,cell_n,support_flag,paired_t_q,wilcoxon_q,date_ci_excludes_zero,cell_ci_excludes_zero,candidate_priority
영서 내륙형,ISI_change_1d,canadian_change,higher,index,615,0.27246467249645595,0.04729466593653395,0.2251700065599221,0.07253924552203098,2.0708290219774237,0.0611821435073128,0.3891578696125314,-0.020815009496102994,0.4872358446456679,0.03231445096798737,0.4207618913494718,0.10873423357033525,53.008130081300806,0.007199009618504827,0.00748134479418683,208,41,ok,0.023996698728349423,0.0213752708405338,False,True,descriptive_only
영서 내륙형,FWI_change_1d,canadian_change,higher,index,615,0.5019933131852506,0.09079464874529267,0.41119866443995795,0.08126427596120622,3.4262074160998965,0.13987909793865866,0.6825182309412572,0.04882895613077809,0.812441881575209,0.0570984912162467,0.7641566333109696,0.12001569505328769,54.146341463414636,0.0030323949206832804,0.0015845746287918164,208,41,ok,0.011026890620666474,0.0057620895592429685,True,True,descriptive_only
고지·산간형,rh_mean_1h_minus_prev6h_mean,humidity_drop,lower,%p,181,-9.370386740331492,-10.1422394106814,0.7718526703499078,0.313666666666645,11.58924387384142,-0.9279312055739204,2.4716365462737357,-1.4925376934954642,2.6094829937867283,-1.1556398873717502,2.4009201081081066,0.06660077902856885,48.61878453038674,0.37143781585669083,0.3087266122927458,101,25,ok,0.4369856657137539,0.42155209193465926,False,False,descriptive_only
고지·산간형,rh_mean_3h_minus_prev21h_mean,humidity_drop,lower,%p,181,-2.1912575637989993,-3.7862553275453834,1.594997763746384,1.268285714285728,17.460388257898263,-0.9659015279783072,4.155897055471075,-2.7857181189675178,6.172690480794732,-1.4115758408215573,5.231539631054775,0.0913495015223892,46.96132596685083,0.22068284582165873,0.2883195590446038,101,25,ok,0.29424379442887827,0.42155209193465926,False,False,descriptive_only
고지·산간형,rh_mean_6h_minus_prev18h_mean,humidity_drop,lower,%p,181,2.9860988336402703,1.212031154082259,1.7740676795580117,2.907666666666657,16.457800535539995,-0.6397829812796925,4.187918340395716,-2.8551775894545632,6.0128804738562085,-0.9677173831837472,4.497870447480663,0.10779494354224187,43.646408839779006,0.14873391414141904,0.03774733734675599,101,25,ok,0.25866767676768526,0.08881726434530822,False,False,descriptive_only
고지·산간형,rh_min_6h_minus_prev18h_mean,humidity_drop,lower,%p,181,-7.564140577041129,-10.101213321055862,2.537072744014733,1.8426666666666605,19.01924361916122,-0.25246244810316476,5.326607936132631,-2.7480334930939967,7.578219507527737,-0.714489076426617,6.010754200833455,0.13339503898350202,43.0939226519337,0.07438800037154375,0.09360854430634895,101,25,ok,0.19388657568483966,0.1970706195923136,False,False,descriptive_only
고지·산간형,wind_mean_3h_minus_prev21h_mean,wind_increase,higher,m/s,181,0.12720599842146807,0.2095240726124704,-0.08231807419100232,9.523809523792615e-05,1.194633432359036,-0.2575338749859813,0.09289772660397666,-0.2962273490239007,0.13537281441351526,-0.39361642068059094,0.12604923691506498,-0.0689065548989779,50.27624309392266,0.3551456121623716,0.4862365020914534,101,25,ok,0.4304795298937838,0.572042943637004,False,False,descriptive_only
고지·산간형,wind_max_6h_minus_prev18h_max,wind_increase,higher,m/s,181,-1.1890607734806629,-1.0791657458563535,-0.10989502762430946,-0.15800000000000014,1.5436474932328388,-0.33630040382230797,0.11651034857368904,-0.4259122452978057,0.1604678571428569,-0.47251078869047625,0.160234088164251,-0.07119178964502956,44.751381215469614,0.3394545577717593,0.316533997545424,101,25,ok,0.42431819721469916,0.42155209193465926,False,False,descriptive_only
고지·산간형,pressure_mean_3h_minus_prev3h_mean,pressure_change,two_sided,hPa,181,0.6337937384898656,0.5825267034990755,0.05126703499079005,0.0006666666665068981,0.5588761578182164,-0.03070282361593754,0.13323689359751764,-0.09272157489754215,0.17927166149067822,0.0017554477225606429,0.10702323760818368,0.09173237089041378,50.82872928176796,0.21876227493621506,0.24106946105366445,101,25,ok,0.29424379442887827,0.40876250343683584,False,True,descriptive_only
고지·산간형,FFMC_change_1d,canadian_change,higher,index,181,2.087544406207777,-0.34888479933230687,2.4364292055400836,1.5005254942856368,10.566984319853338,0.8865792101863315,3.9862792008938355,0.3082463292511857,4.346053402131026,1.0517947099800191,4.243523166690316,0.2305699650715389,58.5635359116022,0.0022321173766522307,0.0013035472907273833,101,25,ok,0.008928469506608923,0.005214189162909533,True,True,weak_rapid_candidate
고지·산간형,ISI_change_1d,canadian_change,higher,index,181,0.3728159906054446,0.10123738085712872,0.27157860974831594,0.36684128108926095,2.747625422441738,-0.13141311611281242,0.6745703356094443,-0.297212287512103,0.7679141088563898,-0.06581093779319752,0.6312779609940827,0.0988412057663128,60.773480662983424,0.1852759124424461,0.006159134795670266,101,25,ok,0.28503986529607095,0.018951183986677743,False,False,descriptive_only
고지·산간형,FWI_change_1d,canadian_change,higher,index,181,0.6835210527193324,0.20955096486832103,0.47397008785101136,0.6351489033554176,4.494061696749711,-0.18516986059585872,1.1331100362978814,-0.35945657103214373,1.2737710465980359,-0.05111793946477157,0.9973946699738501,0.10546586135962617,60.773480662983424,0.1576579727820915,0.002803267648208161,101,25,ok,0.2627632879701525,0.009344225494027204,False,False,descriptive_only
