group,feature,n,fire_mean,control_mean,mean_delta,median_delta,sd_delta,mean_delta_ci_low_t,mean_delta_ci_high_t,date_boot_ci_low,date_boot_ci_high,cell_boot_ci_low,cell_boot_ci_high,cohen_dz,direction_match_pct,paired_t_p,wilcoxon_p,date_n,cell_n,support_flag,paired_t_q,wilcoxon_q
영동 해안형,rain_to_ffmc_recovery_1p0,348,13.867496395144231,12.830516724188179,1.0369796709560521,1.54377777403581,20.720869327858917,-1.1476802924982783,3.2216396344103826,-1.8858006557992217,3.898685666142217,-2.267247553561722,4.287710262728078,0.0500451817222672,62.93103448275862,0.35116935364104657,0.0009921883492735406,163,21,ok,0.4013364041611961,0.0017008943130403555
영동 해안형,rain_to_ffmc_recovery_5p0,327,17.69029326052637,14.338213640767698,3.3520796197586775,2.169028434573363,17.100692104814843,1.4916928876862006,5.2124663518311545,1.1241703161560677,5.881459669169089,0.6858454054895465,6.237473428494555,0.19602011422770843,67.2782874617737,0.0004506123919706287,5.711622680458556e-09,154,21,ok,0.0013518371759118862,2.4923444423819156e-08
영서 내륙형,last_rain_elapsed_h_0p1,615,159.40650406504065,137.4767479674797,21.929756097560976,3.0,155.3790427130877,9.625371280050368,34.234140915071585,-8.20215715233986,52.334018461343256,-1.7334222248443893,42.900497618504716,0.1411371554016777,50.73170731707317,0.0004988003690713551,0.0024252803015958565,208,41,ok,0.0014083775126720614,0.003755272725051649
영서 내륙형,last_rain_elapsed_h_1p0,615,315.8308943089431,297.5040650406504,18.326829268292684,0.0,212.65826429621907,1.4865329655522679,35.1671255710331,-19.16857944233625,57.67619953416148,-18.31640916372585,49.388942735205305,0.08617971809816245,48.13008130081301,0.03297718718435116,0.03225166313603221,208,41,ok,0.056532320887459124,0.0377580446470621
영서 내륙형,last_rain_elapsed_h_5p0,615,570.5642276422765,534.9310569105692,35.63317073170732,0.0,196.87781774341394,20.04251970665349,51.22382175676114,13.084587566369832,61.80098145157951,10.066951229713904,63.74290446579989,0.18099129267141287,33.983739837398375,8.56893377816238e-06,1.7816135732264092e-05,208,41,ok,4.113088213517942e-05,5.3448407196792277e-05
영서 내륙형,drying_amount_0p1,605,35.24490909090909,28.27164683195592,6.973262258953169,5.592000000000001,20.087558893960704,5.369393977808846,8.577130540097492,3.4662686884008505,11.305552494756723,4.650121060177305,9.360077616473525,0.3471433386089372,64.13223140495867,1.1031747991421825e-16,2.507862000764328e-17,204,41,ok,2.6476195179412382e-15,6.018868801834387e-16
영서 내륙형,drying_amount_1p0,602,37.035913621262466,31.613860741971205,5.422052879291251,4.603,18.868511436981322,3.9117537592557277,6.932351999326775,1.4912688498299744,9.235366258387248,3.2985200177368244,7.784032295400238,0.2873598639405281,63.62126245847176,4.911438347960752e-12,3.003223379360352e-13,203,41,ok,4.7149808140423227e-11,2.4025787034882817e-12
영서 내륙형,drying_amount_5p0,577,38.12055459272097,32.82000491045638,5.300549682264587,4.6860000000000035,18.191742832777738,3.8130803721942392,6.788018992334935,1.6379218173023775,8.548501599610782,3.34858217202076,7.415751703193985,0.29137118587198246,63.43154246100519,7.196361491676641e-12,8.799032385302607e-13,199,40,ok,5.757089193341313e-11,5.2794194311815645e-12
영서 내륙형,drying_rate_0p1,605,0.5152034925037678,0.5879668644922095,-0.07276337198844163,-0.1028242604860067,0.9047113262816427,-0.1449990183143569,-0.0005277256625263599,-0.2415261005754235,0.12536595972118703,-0.15799116864005494,0.025055309007801833,-0.08042717038538534,35.70247933884298,0.04835482831865346,7.737330041921523e-08,204,41,ok,0.07487199223533439,2.652798871515951e-07
영서 내륙형,drying_rate_1p0,602,0.31388233658708015,0.3463346903727046,-0.03245235378562445,-0.03330444049121347,0.6529102693068617,-0.08471348781783138,0.019808780246582475,-0.12747580168696557,0.06624525128208776,-0.09169887378802839,0.030642233633967637,-0.04970415585602032,39.53488372093023,0.2231231133903277,1.02097084611175e-08,203,41,ok,0.2677477360683932,4.083883384447e-08
영서 내륙형,drying_rate_5p0,577,0.09296715722244597,0.12016142125784945,-0.02719426403540349,-0.002940283651420121,0.319174055242857,-0.053291907131425384,-0.0010966209393815929,-0.05831180944498943,0.006350633950170911,-0.0623809263287274,0.004560299715430816,-0.08520198803349348,42.98093587521664,0.04114856889162271,9.981018571567193e-05,199,40,ok,0.06583771022659633,0.0002521520481238028
영서 내륙형,rain_to_ffmc_recovery_0p1,605,10.395066373800365,6.5389756276661215,3.8560907461342424,1.0254667636008121,21.370384566548307,2.1497967089604266,5.562384783308058,0.6285270265440838,7.0743780473599704,1.5599016912402959,6.698385682408297,0.18044086825514105,54.54545454545454,1.0781225284266101e-05,0.0031581179539239296,204,41,ok,4.704534669497935e-05,0.004654889037643573
영서 내륙형,rain_to_ffmc_recovery_1p0,602,14.383837701452782,11.18100861570643,3.202829085746349,1.8222670883068695,21.34501740340985,1.494302098380019,4.911356073112679,-0.44238532494679783,7.193205730735797,0.9203186410628685,5.165367173952762,0.1500504321554078,58.97009966777409,0.0002526454328338574,0.00020179953019917236,203,41,ok,0.0008662129125732254,0.0004402898840709215
영서 내륙형,rain_to_ffmc_recovery_5p0,577,29.474574622258178,25.858457865958332,3.616116756299846,2.41530307531945,22.10756686605067,1.8084654753941067,5.423768037205585,-0.36710586708979587,7.629323518082609,0.7534872977628745,6.589207512753193,0.1635691877903086,59.27209705372617,9.562764095706814e-05,6.800518511358143e-05,199,40,ok,0.0003825105638282725,0.0001813471603028838
고지·산간형,last_rain_elapsed_h_0p1,181,193.4585635359116,152.99944751381216,40.459116022099444,15.200000000000003,178.60022952359526,14.263982527175795,66.65424951702309,-9.461120211693547,84.81043672715299,-6.930532407407409,78.13146266233765,0.22653451302958322,55.24861878453039,0.00265323078696501,0.012254559879534468,101,25,ok,0.006367753888716024,0.01730055512404866
고지·산간형,last_rain_elapsed_h_1p0,181,280.121546961326,313.6033149171271,-33.4817679558011,-9.600000000000023,236.71371163677227,-68.2003531051271,1.2368171935249137,-96.69300326797386,37.22309550859648,-80.65426002314,28.84695054945054,-0.1414441424803373,42.5414364640884,0.058645040173010685,0.17066970013079064,101,25,ok,0.08796756025951602,0.18204768013951
고지·산간형,last_rain_elapsed_h_5p0,181,599.8453038674033,565.7370165745856,34.10828729281768,0.0,153.4770550634173,11.597946984084611,56.61862760155074,6.397341210557291,64.39809981264465,-1.280499883963795,74.90681818181818,0.2222370456530066,33.14917127071823,0.0031812909311847272,0.0032002362133799565,101,25,ok,0.006940998395312133,0.004654889037643573
고지·산간형,drying_amount_0p1,179,30.769776536312854,26.685304469273742,4.084472067039106,3.0350000000000037,21.075289599401795,0.9759213782390885,7.193022755839123,-1.140254297794118,9.20421790159757,1.5326689395197823,6.384280041611691,0.19380384064354875,58.659217877094974,0.010307812083430753,0.01977264781130595,99,25,ok,0.021511955652377224,0.0263635304150746
고지·산간형,drying_amount_1p0,179,34.978882681564244,31.49702234636872,3.4818603351955297,3.940000000000005,20.523631189697433,0.45467783454688604,6.509042835844173,-1.801522227151206,9.170157469452105,0.4159646217824194,5.681079031600498,0.16965128163788937,57.54189944134078,0.024420208758143745,0.02122340165252483,99,25,ok,0.04508346232272691,0.02680850735055768
고지·산간형,drying_amount_5p0,172,33.17238372093023,29.95277131782946,3.219612403100775,3.288000000000002,20.279341328215395,0.16734738633710444,6.271877419864445,-1.662397982673267,8.833716726555279,-0.1459154122539441,5.743117417647815,0.15876316449298133,58.139534883720934,0.038816796002478594,0.031815381235467115,94,25,ok,0.06424848993513699,0.0377580446470621
고지·산간형,drying_rate_0p1,179,0.5527648972722218,0.600952706962775,-0.04818780969055316,-0.10393488068159244,1.237135355637541,-0.23066207386460702,0.13428645448350068,-0.28658086199240335,0.19927394820146258,-0.21385904504764786,0.18990907778409852,-0.03895112161411006,32.960893854748605,0.6029235966165163,0.0010599025658043868,99,25,ok,0.6291376660346257,0.0017543214882279506
고지·산간형,drying_rate_1p0,179,0.3738869746488939,0.32700716938172747,0.04687980526716636,-0.009993871519465519,0.7607604495634465,-0.06533039276348784,0.15909000329782055,-0.12781630987094664,0.2130581923607823,-0.04143233442541371,0.12645289863642226,0.06162229555186234,43.575418994413404,0.4107872480194281,0.5029819128212003,99,25,ok,0.45855320709145464,0.5029819128212003
고지·산간형,drying_rate_5p0,172,0.095046725377786,0.10987803451391356,-0.014831309136127561,-0.003217642715347054,0.32865729130953525,-0.0642978641160313,0.03463524584377619,-0.0765849185533375,0.05994074636978372,-0.06483207400219591,0.05779085833676462,-0.04512697429298525,40.116279069767444,0.5547429229182295,0.0004148194325660675,94,25,ok,0.5917257844461115,0.000829638865132135
고지·산간형,rain_to_ffmc_recovery_0p1,179,7.486358634867934,5.374965536255076,2.111393098612858,2.452752768850361,17.906342351582747,-0.5297460700029513,4.752532267228667,-0.6818902138766183,5.577406772983495,-2.111163486619495,5.720911917565699,0.11791314257019281,60.893854748603346,0.1164398730125356,0.018951676447646507,99,25,ok,0.15525316401671413,0.025990870556772353
고지·산간형,rain_to_ffmc_recovery_1p0,179,10.864309609229304,9.137201609330118,1.7271079998991867,1.6352367037938649,18.436039143836773,-0.992160075114338,4.4463760749127115,-1.865270798435976,5.712274999789229,-1.1881250413221607,4.332878119842198,0.093681076853027,59.217877094972074,0.21171584731215334,0.06073007538722938,99,25,ok,0.2605733505380349,0.06940580044254786
고지·산간형,rain_to_ffmc_recovery_5p0,172,33.13886280385419,29.18208258182664,3.956780222027549,2.5677480239254393,17.180997003630623,1.370850272007912,6.542710172047186,0.6788173744084811,7.643597188472319,0.43551717567501846,7.444303993530246,0.230299802810711,66.86046511627907,0.0029121838175383114,2.6312652283198827e-05,94,25,ok,0.006656420154373283,7.429454762314963e-05
