기상셀ID,기후지형유형,FFMC,DMC,DC,ISI,BUI,FWI
YS_0002,영서 내륙형,76.05957234125454,20.518885980082143,96.33943719408057,2.759008283340355,25.449689432198703,5.385624707931753
YS_0003,영서 내륙형,74.90144265101559,19.282085085909582,96.57950550623455,2.6213459356482485,23.384581408054796,4.9471109676762035
YS_0004,영서 내륙형,76.03490211536815,18.514271307149937,90.97052196662969,3.053451301041616,22.166779758838512,5.397219582270694
YS_0005,고지·산간형,73.74465514524762,17.886808591662863,57.899324179406555,3.172019585446235,20.051129390353154,5.339743179395243
YS_0006,영서 내륙형,70.36982050220465,14.369042459007005,67.30238261366212,2.1625480471271934,17.610959074240494,3.547979541282364
YS_0007,영서 내륙형,73.29655447797872,17.74687061768227,98.39134626295156,2.6271758765640874,22.81366294625734,4.852947004678138
YS_0008,영서 내륙형,72.40621211978625,16.428218030161467,86.3288023751792,2.644870335624561,20.22218513169839,4.601616674052571
YS_0009,영서 내륙형,71.82725703185693,17.501787825321923,85.70246807959805,2.4817186272853737,21.759898726816182,4.540169140337364
YS_0010,영서 내륙형,74.56694937408197,19.64736550015094,93.10240071756122,2.853274943734364,24.37663301203216,5.438276185155737
YS_0011,고지·산간형,69.88739397757375,12.993028424112307,62.805275726852265,2.5582825655898103,16.221876798186475,3.948240683599098
YS_0012,영서 내륙형,77.20102561247928,20.46323716754191,68.4570773486613,3.367358325739283,22.82600120915479,6.000872681101333
YS_0013,고지·산간형,75.08997687667188,16.673064024520077,79.8389926607539,3.289105636635029,20.441613456944644,5.393780363216922
YS_0014,영서 내륙형,73.2846650923582,18.85971180927919,73.79080126244514,2.5614878741408367,22.06976501508777,4.722152258090882
YS_0015,영서 내륙형,70.58071261780071,15.347730023895377,77.20789251014679,2.1255162168733492,19.15951172447519,3.637643269238439
YS_0016,고지·산간형,69.83402891383109,11.267659944778629,79.44273194840558,2.2844183305130557,15.353051152587037,3.4319756684835037
YS_0017,영서 내륙형,73.04002474723275,15.321526428168749,70.94131318593712,2.4073064084861744,19.015504106646887,4.0359435808615896
YS_0018,영서 내륙형,74.93700351178904,19.68908151127815,96.83830247583593,2.66984855167391,23.988001630671878,5.090826562831402
YS_0019,고지·산간형,75.83251518728707,18.378607481161563,92.90129792791683,4.2745633041716475,23.14014055330631,7.411683599690722
YS_0020,고지·산간형,71.9947516214922,12.309543426113219,76.59723218030338,2.3077574250292243,15.731307580950762,3.4217892209458856
YS_0021,고지·산간형,71.66772003305412,13.887079947523983,86.85440610920084,2.8999215962075526,18.058298518564524,4.653210784466969
YS_0022,영서 내륙형,76.09245387250749,19.695768893466624,100.5666098751652,3.6782644540102494,24.528716813429753,6.764619479513516
YS_0023,영서 내륙형,67.11165044346025,9.90514060385415,51.64599323336178,1.7638776869684414,12.364999229233318,2.3587614467363514
YS_0024,영서 내륙형,71.25040460952694,15.547788951806263,85.18201153066515,2.783755401604114,19.203094604391712,4.67454998064051
YS_0025,고지·산간형,72.10329898141481,12.641881215375465,75.6303640110099,2.4933064705094243,15.84186574711142,3.7348905012800278
YS_0026,영서 내륙형,74.17493796944116,17.348556740735546,70.62013214919918,3.109420220655633,20.85035035451742,5.380945565139509
YS_0027,고지·산간형,75.19147876178359,15.087493332963575,81.62508238581606,3.636003136879142,19.00819177309821,5.6629910421878105
YS_0028,영서 내륙형,72.59427703075423,16.88597753705434,86.17083223824649,2.924013012776061,20.96584928589792,5.1088396718219675
YS_0029,영서 내륙형,66.43565809414446,8.203179685235618,54.42061636293772,2.272087088517951,10.535571582172077,2.6850435762683444
YS_0030,영서 내륙형,70.38540395856329,13.526817717421096,67.98217705525367,2.539167255891445,16.660858519479973,3.99846490122975
YS_0031,고지·산간형,71.17192783670525,13.943781916449742,71.41882190103436,2.5901029131464317,16.750469335862288,4.060974898988106
YS_0032,고지·산간형,73.43940015043933,12.834192712785253,53.81717797411685,4.343021707726859,15.302114786565754,5.906063728896526
YS_0033,고지·산간형,71.09652144191286,15.045332155178457,73.39446989785357,3.146657922844514,18.642354010236346,5.116281622307879
YS_0034,영서 내륙형,73.79543885609931,13.862945911405303,53.69099634503624,3.2938051817040916,16.18859417544192,4.817930217666327
YS_0035,고지·산간형,71.11957425130603,17.408832205720692,57.77978146869634,2.815210930957751,19.83995009462644,4.8657286640658715
YS_0036,고지·산간형,65.11234703652255,9.027071581126549,42.5329019563799,2.1145578595554184,11.034901909142956,2.7128210420711616
YS_0037,영서 내륙형,72.2499956012488,17.29233188015577,72.50302562549051,2.458169084744721,20.44052215115801,4.384015556577495
YS_0038,영서 내륙형,77.06591810437827,21.471885869139285,93.32616365271593,3.405620113593046,25.773118989759684,6.484705037389888
YS_0039,고지·산간형,68.47469419542894,9.919847496193055,39.72852896013623,2.8147941189515837,11.652641562692775,3.548125794491029
YS_0040,영서 내륙형,72.28934198956404,14.556993217402209,78.8071100893792,2.5218144076368363,18.226394535212712,4.15092987414539
YS_0041,고지·산간형,70.7736684400402,13.846031308714045,49.836367987609,2.907386108959236,15.945412119974574,4.414993692127446
YS_0042,영서 내륙형,72.96781561357058,15.138777519854587,82.92732601995347,2.6687984312410777,19.469609727881917,4.475658053678274
YS_0043,영서 내륙형,72.5359715087513,14.4822538647279,73.74347001649991,2.9199013697938017,17.864073823063674,4.639389513075263
YS_0044,영서 내륙형,76.90882767714119,18.46191713278385,63.76366698387152,2.807431486900976,20.958441092457115,4.879757756763536
YS_0045,영서 내륙형,68.46510299604341,8.387721299819288,57.165895954021444,2.0408028616173852,11.190313172182893,2.4811798428440492
YS_0046,영서 내륙형,76.1138201592604,17.544406585179416,64.83696584297782,2.7104278060016083,20.290085402156073,4.660226459503107
YS_0047,고지·산간형,66.98220028293638,8.042667632518398,36.25353487271485,2.589807925391855,9.795830333146474,2.977101196465947
