기후지형유형,계절,기상변수,FWI지수,N_셀일,Spearman_rho,p_value,q_FDR_global
영동 해안형,가을,기온_C,FFMC,3822,-0.32914473837418035,2.9969306693056027e-97,4.932091615771506e-97
영동 해안형,가을,기온_C,DMC,3822,-0.5283737259633566,6.890886897173705e-274,1.945662182731399e-273
영동 해안형,가을,기온_C,DC,3822,-0.40199319039618203,1.992773538087928e-148,3.930950540885776e-148
영동 해안형,가을,기온_C,ISI,3822,-0.3477631666524008,4.414495392699153e-109,7.705301049074886e-109
영동 해안형,가을,기온_C,BUI,3822,-0.5067491552095026,1.6732312019189883e-248,4.341356632006023e-248
영동 해안형,가을,기온_C,FWI,3822,-0.42194151711662964,7.166636133535351e-165,1.4956458017812906e-164
영동 해안형,가을,습도_pct,FFMC,3822,-0.8044145815736258,0.0,0.0
영동 해안형,가을,습도_pct,DMC,3822,-0.6087678394215426,0.0,0.0
영동 해안형,가을,습도_pct,DC,3822,-0.4215829278731401,1.4483708441721163e-164,3.0009410296515792e-164
영동 해안형,가을,습도_pct,ISI,3822,-0.7935920321538115,0.0,0.0
영동 해안형,가을,습도_pct,BUI,3822,-0.570724453085549,0.0,0.0
영동 해안형,가을,습도_pct,FWI,3822,-0.7522495585943336,0.0,0.0
영동 해안형,가을,풍속_km_h,FFMC,3822,0.20701525383334377,2.881219460168659e-38,3.9141094553234614e-38
영동 해안형,가을,풍속_km_h,DMC,3822,0.21849383115244336,1.5583915312121268e-42,2.1681969129907852e-42
영동 해안형,가을,풍속_km_h,DC,3822,0.16457336800257058,1.300483789371707e-24,1.6499530014936193e-24
영동 해안형,가을,풍속_km_h,ISI,3822,0.39029900086623787,2.6842729790702036e-139,5.153804119814791e-139
영동 해안형,가을,풍속_km_h,BUI,3822,0.21360938642650543,1.09359865524594e-40,1.4997924414801465e-40
영동 해안형,가을,풍속_km_h,FWI,3822,0.34303681314945317,5.320942490962088e-106,9.067641641402848e-106
영동 해안형,가을,강수량_mm,FFMC,3822,-0.7539678537707671,0.0,0.0
영동 해안형,가을,강수량_mm,DMC,3822,-0.5679511674739657,0.0,0.0
영동 해안형,가을,강수량_mm,DC,3822,-0.44928357974357863,2.712565808045069e-189,6.055960873775037e-189
영동 해안형,가을,강수량_mm,ISI,3822,-0.7282162645842589,0.0,0.0
영동 해안형,가을,강수량_mm,BUI,3822,-0.5548725927726018,1.2840923657779202e-307,3.892827382568853e-307
영동 해안형,가을,강수량_mm,FWI,3822,-0.7097717040321992,0.0,0.0
영동 해안형,겨울,기온_C,FFMC,3801,-0.004108310938596345,0.8001102857513364,0.8085324992855609
영동 해안형,겨울,기온_C,DMC,3801,0.017053487074981145,0.2932050977399929,0.30375204370186315
