fire_exposure_id,기상셀ID,기준시각,raw_event_n,fire_ids,weather_rows_in_window_before_exclusion,candidate_rows_in_window_after_exclusion
FE_00149,YD_0006,2021-02-03 16:00:00,1,F_009664,97,0
FE_00150,YD_0006,2021-02-11 09:00:00,1,F_010102,97,0
FE_00151,YD_0006,2021-03-14 12:00:00,1,F_010348,97,0
FE_00152,YD_0006,2021-03-17 13:00:00,1,F_010354,97,0
FE_00153,YD_0006,2021-03-27 17:00:00,1,F_010393,97,0
FE_00154,YD_0006,2021-04-07 20:00:00,1,F_010458,97,0
FE_00155,YD_0006,2021-04-14 13:00:00,1,F_010487,97,0
FE_00156,YD_0007,2020-02-08 08:00:00,1,F_007648,97,0
FE_00157,YD_0007,2020-02-23 07:00:00,1,F_010750,97,0
FE_00158,YD_0007,2020-03-15 14:00:00,1,F_007676,97,0
FE_00159,YD_0007,2020-04-01 14:00:00,1,F_007710,97,0
FE_00160,YD_0007,2020-05-01 02:00:00,1,F_010916,97,0
FE_00161,YD_0007,2021-02-03 17:00:00,1,F_009586,97,0
FE_00162,YD_0008,2020-03-26 11:00:00,3,F_007699;F_007700;F_010823,97,0
FE_00163,YD_0008,2020-11-24 14:00:00,1,F_008613,97,0
FE_00164,YD_0008,2020-12-16 09:00:00,2,F_008708;F_008709,97,0
FE_00165,YD_0008,2021-01-16 12:00:00,1,F_011105,97,0
FE_00166,YD_0008,2021-02-01 11:00:00,1,F_008917,97,0
FE_00167,YD_0008,2021-02-01 12:00:00,2,F_009033;F_009253,97,0
FE_00168,YD_0008,2021-02-01 13:00:00,20,F_008928;F_008929;F_008942;F_008945;F_008956;F_008965;F_008967;F_008985;F_008994;F_008998;F_009035;F_009041;F_009046;F_009052;F_009058;F_009063;F_009090;F_009092;F_009168;F_009184,97,0
FE_00169,YD_0008,2021-02-01 14:00:00,2,F_009000;F_009246,97,0
FE_00170,YD_0008,2021-02-02 14:00:00,1,F_009351,97,0
FE_00171,YD_0008,2021-02-20 08:00:00,1,F_010211,97,0
FE_00172,YD_0008,2021-02-24 12:00:00,1,F_010268,97,0
FE_00173,YD_0008,2021-03-14 14:00:00,1,F_011170,97,0
