fire_exposure_id,FFMC,DMC,DC,ISI,BUI,FWI,FFMC_10일평균,Indexed_FFMC,FFMC_논문식_발생확률,기상셀ID,기준시각,기후지형유형,month,hour,date,season
FE_00572,-22.87383102497111,-5.8861389186,-8.945279999999997,-2.697849667247415,-9.360769949857499,-4.626465905881879,-14.327700642372804,-1.2000000000000002,-0.10982743755820146,YS_0010,2021-02-05 09:00:00,영서 내륙형,2,9,2021-02-05,겨울(12-2월)
FE_00573,-3.891685818799715,-4.25711338236,-6.52328,-1.3424049452139903,-6.056897066524826,-3.187384764973081,0.2575359943330682,0.0,0.0,YS_0010,2021-02-16 15:00:00,영서 내륙형,2,15,2021-02-16,겨울(12-2월)
FE_00574,28.785657412530554,0.31693502691536857,3.986894521946965,1.9137589637313623,0.940109536239353,2.43141384285436,-14.360226344001958,-1.4,-0.1321588464598561,YS_0010,2021-03-11 14:00:00,영서 내륙형,3,14,2021-03-11,봄(3-5월)
FE_00575,21.561955384546977,2.972765045369684,5.689727260973477,2.609274590919094,3.558443366302189,3.8000504579467456,-5.242252754689588,-0.6000000000000001,-0.05625599743752996,YS_0010,2021-03-11 15:00:00,영서 내륙형,3,15,2021-03-11,봄(3-5월)
FE_00576,3.741543698419264,-2.0769078031306627,-5.082048963386576,-2.2173898166755297,-1.8885933146009268,-3.976985949760641,-7.442845817338821,-0.3999999999999999,-0.03124003121901686,YS_0010,2021-03-12 19:00:00,영서 내륙형,3,19,2021-03-12,봄(3-5월)
FE_00577,24.78508047151368,5.888177954564414,-10.471176947815636,-0.9776098282026664,5.209854637903163,-1.6673476134427943,3.027864627362007,0.3999999999999999,0.03392458853587532,YS_0010,2021-03-21 09:00:00,영서 내륙형,3,9,2021-03-21,봄(3-5월)
FE_00578,33.2908173456525,3.8571439608059848,-6.594239172083704,3.7460312015380093,2.394045272638129,4.9962957057435355,3.484612289634157,0.7999999999999998,0.07053373438860921,YS_0010,2021-03-31 16:00:00,영서 내륙형,3,16,2021-03-31,봄(3-5월)
FE_00579,8.654653280633994,17.823941926425128,21.48336,2.319148424758298,17.87573990379701,7.165125622952113,6.438509400937946,0.20000000000000018,0.016962294267937605,YS_0010,2021-04-24 05:00:00,영서 내륙형,4,5,2021-04-24,봄(3-5월)
FE_00580,10.859826865559839,46.17554882899129,55.2852,1.872968578753099,46.11730291059987,11.42333909497251,11.271647679806549,0.20000000000000018,0.016962294267937605,YS_0010,2021-04-29 13:00:00,영서 내륙형,4,13,2021-04-29,봄(3-5월)
FE_00581,9.247882334072244,41.58512446599632,49.647600000000004,1.082821057130852,41.51390169620265,9.18124938467118,11.348493040436466,0.20000000000000018,0.016962294267937605,YS_0010,2021-04-29 14:00:00,영서 내륙형,4,14,2021-04-29,봄(3-5월)
FE_00582,0.7295385269582724,-3.4839487795868855,-8.897117982177988,-1.0926133530871545,-3.645330129524483,-2.369574987698617,-14.480934705459937,-1.0,-0.10351064385772202,YS_0010,2021-05-25 13:00:00,영서 내륙형,5,13,2021-05-25,봄(3-5월)
FE_00583,6.7736435499951995,1.44439633615867,0.9582717172686395,0.18431096505818734,1.4240539082724184,0.1227863906855019,7.095284333226431,1.2,0.11920020599221226,YS_0011,2020-03-24 05:00:00,고지·산간형,3,5,2020-03-24,봄(3-5월)
FE_00584,-0.642123255127018,24.51110415693462,79.5022616769754,-2.306326120610641,25.48665033435779,-1.6871901569051957,0.08502978951935347,0.0,0.0,YS_0012,2020-06-21 11:00:00,영서 내륙형,6,11,2020-06-21,여름(6-8월)
FE_00585,3.009931568290469,19.308598643264,51.545199999999966,0.20503631641612508,20.050922230708274,3.36394228396494,0.02432752422187434,0.0,0.0,YS_0012,2020-10-26 18:00:00,영서 내륙형,10,18,2020-10-26,가을(9-11월)
FE_00586,27.682984249447102,34.57319350191283,102.06883435418418,6.245598940768389,37.460407342210424,18.741416001130798,17.72618130163204,1.4,0.13211248210986837,YS_0012,2020-11-05 11:00:00,영서 내륙형,11,11,2020-11-05,가을(9-11월)
FE_00587,42.48620568962536,55.239159214514736,122.89460818416207,8.581038804341105,55.02937788571421,25.873419799222038,20.46144820117597,1.4,0.12810882830957449,YS_0012,2020-11-09 18:00:00,영서 내륙형,11,18,2020-11-09,가을(9-11월)
FE_00588,6.2884813878085595,-2.769846927719998,-3.213519999999999,1.6142338067390067,-2.8708491730440464,1.0239953605109875,-9.18186292652338,-1.0,-0.08481147133968836,YS_0012,2020-12-03 17:00:00,영서 내륙형,12,17,2020-12-03,겨울(12-2월)
FE_00589,3.288367241146247,-1.057875510024001,-1.4793599999999998,-0.10537340680497476,-1.099620273336007,-0.29992879937690775,3.134483731839225,0.0,0.0,YS_0012,2020-12-10 10:00:00,영서 내륙형,12,10,2020-12-10,겨울(12-2월)
FE_00590,3.924805158999362,-0.6925759136140002,-0.9549999999999992,2.605815793473688,-0.7060788035817804,3.057743419921002,2.057078350101932,0.0,0.0,YS_0012,2021-01-08 10:00:00,영서 내륙형,1,10,2021-01-08,겨울(12-2월)
FE_00591,1.8090553568820695,-0.27943050462767616,-0.08915999999999613,3.1077987294918303,-0.2596922306439282,4.0466363200693065,1.7436653621608968,0.0,0.0,YS_0012,2021-02-19 15:00:00,영서 내륙형,2,15,2021-02-19,겨울(12-2월)
FE_00592,2.549987617558898,2.6507865269999975,5.019399999999997,0.8832236218768816,2.6867586638437935,1.8672320960625601,1.4674192099274563,0.0,0.0,YS_0012,2021-02-23 09:00:00,영서 내륙형,2,9,2021-02-23,겨울(12-2월)
FE_00593,32.4131743318151,17.134703148423206,26.109479999999998,10.19033376239175,17.453486566943177,16.13880115769637,13.748219058165489,1.0,0.08749602865654682,YS_0012,2021-03-23 13:00:00,영서 내륙형,3,13,2021-03-23,봄(3-5월)
FE_00594,18.391215980612074,23.514655311723203,35.12795999999999,1.9868654060366873,23.748565385968938,6.9892749128642535,20.069354296743313,1.4,0.12678973182613917,YS_0012,2021-03-27 16:00:00,영서 내륙형,3,16,2021-03-27,봄(3-5월)
FE_00595,12.800175724313362,-5.1471089768579406,-2.3318790388761315,0.34450510506360565,-4.947104024958251,-1.2683033994455233,-13.819596336831168,-1.0,-0.09154604680682843,YS_0013,2020-03-07 01:00:00,고지·산간형,3,1,2020-03-07,봄(3-5월)
FE_00596,-2.6109982705619927,-8.834124807223397,-26.768365657124527,-15.090806365117565,-9.801118145336725,-14.438061312257368,-4.068763816288623,-0.3999999999999999,-0.03392458853587532,YS_0013,2020-04-01 11:00:00,고지·산간형,4,11,2020-04-01,봄(3-5월)
FE_00597,8.886420570176952,4.927560799055211,10.028871190495181,3.003029391341532,7.152761202061598,5.8532058909916715,8.56699953560505,1.0,0.08481147133968836,YS_0013,2020-12-10 10:00:00,고지·산간형,12,10,2020-12-10,겨울(12-2월)
