월,시간,기후지형유형,번지유형,건수,비율_pct
3,16,영서 내륙형,일반번지,9,0.26462805057336075
3,16,고지·산간형,임야번지(산),1,0.029403116730373418
3,16,고지·산간형,일반번지,4,0.11761246692149367
3,17,영동 해안형,임야번지(산),3,0.08820935019112026
3,17,영동 해안형,일반번지,2,0.058806233460746836
3,17,영서 내륙형,임야번지(산),3,0.08820935019112026
3,17,영서 내륙형,일반번지,3,0.08820935019112026
3,18,영동 해안형,임야번지(산),1,0.029403116730373418
3,18,영동 해안형,일반번지,4,0.11761246692149367
3,18,영서 내륙형,임야번지(산),5,0.14701558365186712
3,18,영서 내륙형,일반번지,7,0.20582181711261394
3,18,고지·산간형,일반번지,1,0.029403116730373418
3,19,영동 해안형,일반번지,1,0.029403116730373418
3,19,영서 내륙형,일반번지,6,0.17641870038224053
3,19,고지·산간형,임야번지(산),2,0.058806233460746836
3,20,영동 해안형,일반번지,1,0.029403116730373418
3,20,영서 내륙형,일반번지,2,0.058806233460746836
3,21,영동 해안형,임야번지(산),1,0.029403116730373418
3,21,영서 내륙형,임야번지(산),1,0.029403116730373418
3,21,영서 내륙형,일반번지,4,0.11761246692149367
3,22,영동 해안형,일반번지,1,0.029403116730373418
3,22,영서 내륙형,일반번지,2,0.058806233460746836
3,23,고지·산간형,일반번지,1,0.029403116730373418
4,3,영동 해안형,일반번지,2,0.058806233460746836
4,5,영동 해안형,임야번지(산),1,0.029403116730373418
4,5,영서 내륙형,임야번지(산),1,0.029403116730373418
4,5,영서 내륙형,일반번지,5,0.14701558365186712
4,7,영서 내륙형,임야번지(산),1,0.029403116730373418
4,7,고지·산간형,일반번지,1,0.029403116730373418
4,8,영동 해안형,일반번지,2,0.058806233460746836
4,8,영서 내륙형,임야번지(산),1,0.029403116730373418
4,8,영서 내륙형,일반번지,5,0.14701558365186712
4,8,고지·산간형,일반번지,2,0.058806233460746836
4,9,영동 해안형,임야번지(산),1,0.029403116730373418
4,9,영동 해안형,일반번지,10,0.29403116730373424
4,9,영서 내륙형,임야번지(산),3,0.08820935019112026
4,9,영서 내륙형,일반번지,14,0.4116436342252279
4,9,고지·산간형,임야번지(산),2,0.058806233460746836
4,9,고지·산간형,일반번지,2,0.058806233460746836
4,10,영동 해안형,임야번지(산),3,0.08820935019112026
4,10,영동 해안형,일반번지,3,0.08820935019112026
4,10,영서 내륙형,임야번지(산),2,0.058806233460746836
4,10,영서 내륙형,일반번지,3,0.08820935019112026
4,10,고지·산간형,임야번지(산),1,0.029403116730373418
4,10,고지·산간형,일반번지,1,0.029403116730373418
4,11,영동 해안형,일반번지,2,0.058806233460746836
4,11,영서 내륙형,임야번지(산),7,0.20582181711261394
4,11,영서 내륙형,일반번지,11,0.3234342840341076
4,11,고지·산간형,임야번지(산),4,0.11761246692149367
4,11,고지·산간형,일반번지,4,0.11761246692149367
4,12,영동 해안형,임야번지(산),1,0.029403116730373418
4,12,영동 해안형,일반번지,1,0.029403116730373418
4,12,영서 내륙형,임야번지(산),9,0.26462805057336075
4,12,영서 내륙형,일반번지,11,0.3234342840341076
4,12,고지·산간형,임야번지(산),10,0.29403116730373424
4,12,고지·산간형,일반번지,8,0.23522493384298734
4,13,영동 해안형,임야번지(산),3,0.08820935019112026
4,13,영동 해안형,일반번지,3,0.08820935019112026
4,13,영서 내륙형,임야번지(산),18,0.5292561011467215
4,13,영서 내륙형,일반번지,18,0.5292561011467215
4,13,고지·산간형,임야번지(산),1,0.029403116730373418
4,14,영동 해안형,일반번지,11,0.3234342840341076
4,14,영서 내륙형,임야번지(산),14,0.4116436342252279
4,14,영서 내륙형,일반번지,12,0.35283740076448106
4,14,고지·산간형,일반번지,3,0.08820935019112026
4,15,영동 해안형,일반번지,2,0.058806233460746836
4,15,영서 내륙형,임야번지(산),6,0.17641870038224053
4,15,영서 내륙형,일반번지,7,0.20582181711261394
4,15,고지·산간형,임야번지(산),4,0.11761246692149367
4,15,고지·산간형,일반번지,3,0.08820935019112026
4,16,영동 해안형,임야번지(산),2,0.058806233460746836
4,16,영동 해안형,일반번지,1,0.029403116730373418
4,16,영서 내륙형,임야번지(산),10,0.29403116730373424
4,16,영서 내륙형,일반번지,6,0.17641870038224053
4,17,영동 해안형,임야번지(산),4,0.11761246692149367
4,17,영동 해안형,일반번지,4,0.11761246692149367
4,17,영서 내륙형,임야번지(산),7,0.20582181711261394
4,17,영서 내륙형,일반번지,13,0.38224051749485444
4,17,고지·산간형,임야번지(산),1,0.029403116730373418
4,17,고지·산간형,일반번지,1,0.029403116730373418
4,18,영동 해안형,일반번지,2,0.058806233460746836
4,18,영서 내륙형,임야번지(산),10,0.29403116730373424
4,18,영서 내륙형,일반번지,13,0.38224051749485444
4,18,고지·산간형,임야번지(산),1,0.029403116730373418
4,19,영서 내륙형,임야번지(산),3,0.08820935019112026
4,19,영서 내륙형,일반번지,2,0.058806233460746836
4,19,고지·산간형,일반번지,1,0.029403116730373418
4,20,영동 해안형,일반번지,1,0.029403116730373418
4,20,영서 내륙형,임야번지(산),1,0.029403116730373418
4,20,영서 내륙형,일반번지,1,0.029403116730373418
4,21,영동 해안형,일반번지,1,0.029403116730373418
4,21,영서 내륙형,일반번지,4,0.11761246692149367
5,0,영서 내륙형,일반번지,1,0.029403116730373418
5,1,영동 해안형,일반번지,1,0.029403116730373418
5,2,영동 해안형,일반번지,1,0.029403116730373418
5,4,영동 해안형,일반번지,1,0.029403116730373418
5,6,영서 내륙형,임야번지(산),1,0.029403116730373418
5,6,영서 내륙형,일반번지,1,0.029403116730373418
5,7,영동 해안형,임야번지(산),1,0.029403116730373418
5,7,영서 내륙형,임야번지(산),1,0.029403116730373418
5,7,고지·산간형,임야번지(산),1,0.029403116730373418
5,8,영동 해안형,일반번지,1,0.029403116730373418
5,8,영서 내륙형,일반번지,1,0.029403116730373418
5,8,고지·산간형,임야번지(산),1,0.029403116730373418
5,9,영동 해안형,일반번지,2,0.058806233460746836
5,9,영서 내륙형,임야번지(산),2,0.058806233460746836
5,9,영서 내륙형,일반번지,2,0.058806233460746836
5,9,고지·산간형,임야번지(산),1,0.029403116730373418
5,9,고지·산간형,일반번지,1,0.029403116730373418
5,10,영서 내륙형,임야번지(산),5,0.14701558365186712
5,10,영서 내륙형,일반번지,1,0.029403116730373418
5,10,고지·산간형,일반번지,2,0.058806233460746836
5,11,영서 내륙형,임야번지(산),2,0.058806233460746836
5,11,영서 내륙형,일반번지,3,0.08820935019112026
5,11,고지·산간형,임야번지(산),2,0.058806233460746836
5,11,고지·산간형,일반번지,6,0.17641870038224053
5,12,영서 내륙형,임야번지(산),2,0.058806233460746836
5,12,영서 내륙형,일반번지,5,0.14701558365186712
5,13,영동 해안형,일반번지,2,0.058806233460746836
5,13,영서 내륙형,임야번지(산),8,0.23522493384298734
5,13,영서 내륙형,일반번지,18,0.5292561011467215
5,14,영동 해안형,임야번지(산),4,0.11761246692149367
5,14,영동 해안형,일반번지,4,0.11761246692149367
5,14,영서 내륙형,임야번지(산),3,0.08820935019112026
5,14,영서 내륙형,일반번지,4,0.11761246692149367
5,15,영동 해안형,임야번지(산),1,0.029403116730373418
5,15,영동 해안형,일반번지,1,0.029403116730373418
5,15,영서 내륙형,임야번지(산),5,0.14701558365186712
5,15,영서 내륙형,일반번지,4,0.11761246692149367
5,15,고지·산간형,임야번지(산),5,0.14701558365186712
5,16,영서 내륙형,임야번지(산),2,0.058806233460746836
5,16,고지·산간형,임야번지(산),1,0.029403116730373418
5,16,고지·산간형,일반번지,1,0.029403116730373418
5,17,영서 내륙형,임야번지(산),7,0.20582181711261394
5,17,영서 내륙형,일반번지,6,0.17641870038224053
5,18,영서 내륙형,임야번지(산),2,0.058806233460746836
5,18,영서 내륙형,일반번지,7,0.20582181711261394
5,19,영서 내륙형,임야번지(산),2,0.058806233460746836
5,19,영서 내륙형,일반번지,3,0.08820935019112026
5,20,영동 해안형,임야번지(산),1,0.029403116730373418
5,20,영동 해안형,일반번지,2,0.058806233460746836
5,20,고지·산간형,일반번지,1,0.029403116730373418
5,21,영동 해안형,일반번지,3,0.08820935019112026
5,23,영동 해안형,일반번지,2,0.058806233460746836
6,9,영서 내륙형,임야번지(산),1,0.029403116730373418
6,9,고지·산간형,일반번지,1,0.029403116730373418
6,10,영서 내륙형,일반번지,1,0.029403116730373418
6,11,영서 내륙형,일반번지,1,0.029403116730373418
6,11,고지·산간형,임야번지(산),1,0.029403116730373418
6,12,영동 해안형,일반번지,1,0.029403116730373418
6,12,고지·산간형,일반번지,1,0.029403116730373418
6,14,영동 해안형,일반번지,2,0.058806233460746836
6,14,영서 내륙형,일반번지,1,0.029403116730373418
6,15,영서 내륙형,임야번지(산),1,0.029403116730373418
6,15,영서 내륙형,일반번지,3,0.08820935019112026
6,16,영서 내륙형,임야번지(산),2,0.058806233460746836
6,16,영서 내륙형,일반번지,1,0.029403116730373418
6,17,영동 해안형,일반번지,3,0.08820935019112026
6,17,영서 내륙형,일반번지,1,0.029403116730373418
6,18,영동 해안형,일반번지,3,0.08820935019112026
6,19,영동 해안형,일반번지,1,0.029403116730373418
6,20,영동 해안형,일반번지,2,0.058806233460746836
6,23,영서 내륙형,일반번지,1,0.029403116730373418
7,11,고지·산간형,일반번지,1,0.029403116730373418
7,16,영서 내륙형,임야번지(산),1,0.029403116730373418
7,19,영서 내륙형,임야번지(산),1,0.029403116730373418
7,21,영서 내륙형,일반번지,1,0.029403116730373418
8,14,영서 내륙형,일반번지,1,0.029403116730373418
9,9,영서 내륙형,임야번지(산),4,0.11761246692149367
9,15,영동 해안형,일반번지,2,0.058806233460746836
9,19,고지·산간형,일반번지,1,0.029403116730373418
10,6,영동 해안형,일반번지,1,0.029403116730373418
10,6,영서 내륙형,일반번지,1,0.029403116730373418
10,7,영서 내륙형,임야번지(산),2,0.058806233460746836
10,8,영동 해안형,일반번지,6,0.17641870038224053
10,8,고지·산간형,일반번지,2,0.058806233460746836
10,9,영동 해안형,일반번지,40,1.176124669214937
