fire_exposure_id,기상셀ID,기준시각,year,month,hour,date,climate_type,raw_event_n,fire_ids,match_key,base_pool_n,canadian_pool_n,matched_control_n,min_abs_date_diff_days,median_abs_date_diff_days,max_abs_date_diff_days,min_abs_time_diff_hours,median_abs_time_diff_hours,max_abs_time_diff_hours,full_5_matched,match_status
FE_00036,YD_0001,2021-02-22 17:00:00,2021,2,17,2021-02-22,영동 해안형,1,F_010248,YD_0001|2021|2|17,3,3,3,5,6.0,13,120.0,144.0,312.0,False,fewer_than_5_after_canadian_filter
FE_00037,YD_0001,2021-02-22 18:00:00,2021,2,18,2021-02-22,영동 해안형,1,F_010242,YD_0001|2021|2|18,2,2,2,5,5.5,6,120.0,132.0,144.0,False,fewer_than_5_after_canadian_filter
FE_00038,YD_0001,2021-02-24 18:00:00,2021,2,18,2021-02-24,영동 해안형,1,F_010267,YD_0001|2021|2|18,2,2,2,3,3.5,4,72.0,84.0,96.0,False,fewer_than_5_after_canadian_filter
FE_00039,YD_0001,2021-02-24 20:00:00,2021,2,20,2021-02-24,영동 해안형,1,F_010263,YD_0001|2021|2|20,2,2,2,3,3.5,4,72.0,84.0,96.0,False,fewer_than_5_after_canadian_filter
FE_00040,YD_0001,2021-03-30 16:00:00,2021,3,16,2021-03-30,영동 해안형,2,F_010399;F_010401,YD_0001|2021|3|16,27,27,5,6,16.0,24,144.0,384.0,576.0,True,full_5
FE_00041,YD_0001,2021-04-22 11:00:00,2021,4,11,2021-04-22,영동 해안형,1,F_010547,YD_0001|2021|4|11,23,23,5,3,7.0,14,72.0,168.0,336.0,True,full_5
FE_00042,YD_0001,2021-04-23 13:00:00,2021,4,13,2021-04-23,영동 해안형,1,F_010557,YD_0001|2021|4|13,23,23,5,4,15.0,20,96.0,360.0,480.0,True,full_5
FE_00043,YD_0001,2021-05-06 14:00:00,2021,5,14,2021-05-06,영동 해안형,1,F_010622,YD_0001|2021|5|14,26,26,5,4,15.0,21,96.0,360.0,504.0,True,full_5
FE_00044,YD_0002,2020-01-25 09:00:00,2020,1,9,2020-01-25,영동 해안형,1,F_010716,YD_0002|2020|1|9,26,25,5,3,13.0,22,72.0,312.0,528.0,True,full_5
FE_00045,YD_0002,2020-03-05 16:00:00,2020,3,16,2020-03-05,영동 해안형,1,F_007667,YD_0002|2020|3|16,26,26,5,4,17.0,24,96.0,408.0,576.0,True,full_5
FE_00046,YD_0002,2020-05-01 20:00:00,2020,5,20,2020-05-01,영동 해안형,2,F_007788;F_010915,YD_0002|2020|5|20,28,28,5,10,20.0,30,240.0,480.0,720.0,True,full_5
FE_00047,YD_0002,2020-05-01 21:00:00,2020,5,21,2020-05-01,영동 해안형,1,F_010922,YD_0002|2020|5|21,28,28,5,9,16.0,26,216.0,384.0,624.0,True,full_5
FE_00048,YD_0002,2021-01-06 13:00:00,2021,1,13,2021-01-06,영동 해안형,1,F_011099,YD_0002|2021|1|13,22,22,5,4,16.0,21,96.0,384.0,504.0,True,full_5
FE_00049,YD_0002,2021-01-29 15:00:00,2021,1,15,2021-01-29,영동 해안형,1,F_008839,YD_0002|2021|1|15,22,22,5,4,15.0,28,96.0,360.0,672.0,True,full_5
FE_00050,YD_0002,2021-01-30 09:00:00,2021,1,9,2021-01-30,영동 해안형,1,F_008857,YD_0002|2021|1|9,23,23,5,3,21.0,28,72.0,504.0,672.0,True,full_5
FE_00051,YD_0002,2021-02-06 15:00:00,2021,2,15,2021-02-06,영동 해안형,1,F_010045,YD_0002|2021|2|15,19,19,5,5,9.0,16,120.0,216.0,384.0,True,full_5
FE_00052,YD_0002,2021-02-27 09:00:00,2021,2,9,2021-02-27,영동 해안형,1,F_010286,YD_0002|2021|2|9,19,19,5,4,7.0,25,96.0,168.0,600.0,True,full_5
