fire_id,연도,월,일,시간,진화소요시간(HH),위도,경도,발생지역시도명,발생지역시군구명,발생지역읍면동명,발생지역리명,발생지역번지,발생원인명,피해면적(ha),피해금액
F_014922,2021,3,3,9,,35.77700399999415,127.41601899989458,전북특별자치도,진안군,진안읍,단양리,740,,,
F_014923,2021,3,3,9,,35.777090000402374,127.41636900004924,전북특별자치도,진안군,진안읍,단양리,743,,,
F_014924,2021,3,3,9,,35.77721000026071,127.4159480002795,전북특별자치도,진안군,진안읍,단양리,570,,,
F_014925,2021,3,3,9,,35.77700399999415,127.41601899989458,전북특별자치도,진안군,진안읍,단양리,740,,,
F_014926,2021,3,3,9,,35.80653999967754,127.43339399980525,전북특별자치도,진안군,진안읍,운산리,1703-1,,,
F_014927,2021,3,3,10,,35.776867000408046,127.41604100035646,전북특별자치도,진안군,진안읍,단양리,740,,,
F_014928,2021,3,3,10,,35.77702500013185,127.41597300006514,전북특별자치도,진안군,진안읍,단양리,740,,,
F_014929,2021,3,4,9,,35.790545999736096,127.55301099963067,전북특별자치도,장수군,천천면,오봉리,1118,,,
F_014930,2021,3,4,10,,35.430145999970414,127.40351000046975,전북특별자치도,남원시,월락동,,248,,,
F_014931,2021,3,4,13,,35.995216999726885,126.78939100032697,전북특별자치도,군산시,성산면,도암리,479,,,
F_014932,2021,3,4,10,,35.43021400010144,127.40362400029854,전북특별자치도,남원시,월락동,,248,,,
F_014933,2021,3,5,8,,35.62280499955477,127.31638499975527,전북특별자치도,임실군,성수면,월평리,553-4,,,
F_014934,2021,3,5,12,,35.68043800010136,127.5630329995685,전북특별자치도,장수군,계남면,신전리,1286,,,
F_014935,2021,3,5,13,,35.532339000276586,126.85669300041963,전북특별자치도,정읍시,신월동,,663-3,,,
F_014936,2021,3,7,19,,35.54917500013523,127.02193500018942,전북특별자치도,정읍시,산내면,매죽리,580-7,,,
F_014937,2021,3,8,14,,35.649514999734684,127.51536799961471,전북특별자치도,장수군,장수읍,노하리,518-10,,,
F_014938,2021,3,8,14,,35.647224000092784,127.52118799970654,전북특별자치도,장수군,장수읍,장수리,176-7,,,
F_014939,2021,3,9,13,,35.64699599996327,127.52157200039578,전북특별자치도,장수군,장수읍,장수리,176-7,,,
F_014940,2021,3,9,15,,35.64156224594028,127.529345448879,전북특별자치도,장수군,장수읍,두산리,산4,,,
F_014941,2021,3,9,13,,35.6485410000149,127.51986699971503,전북특별자치도,장수군,장수읍,장수리,291-1,,,
F_014942,2021,3,9,13,,35.64699599996327,127.52157200039578,전북특별자치도,장수군,장수읍,장수리,176-7,,,
F_014943,2021,3,9,18,,35.9636270002678,127.43484900042185,전북특별자치도,진안군,주천면,신양리,842-4,,,
F_014944,2021,3,10,14,,36.021798000284356,127.55998299958688,전북특별자치도,무주군,부남면,가당리,1470-1,,,
F_014945,2021,3,10,16,,35.70245999955301,127.11412600035356,전북특별자치도,완주군,구이면,항가리,1057-7,,,
F_014946,2021,3,10,15,,35.70297099988891,127.11471400040362,전북특별자치도,완주군,구이면,항가리,1056-4,,,
F_014947,2021,3,13,10,,35.52371300018465,126.54994599977584,전북특별자치도,고창군,심원면,월산리,801-6,,,
F_014948,2021,3,14,14,,35.8909750000252,127.53698100037975,전북특별자치도,진안군,안천면,신괴리,산126-1,,,
F_014949,2021,3,14,10,,35.980455999990546,126.8441699995405,전북특별자치도,군산시,임피면,읍내리,763-18,,,
F_014950,2021,3,14,10,,35.980455999990546,126.8441699995405,전북특별자치도,군산시,임피면,읍내리,763-18,,,
F_014951,2021,3,15,11,,35.71941320528432,127.05207665585974,전북특별자치도,김제시,금산면,금산리,54-2,,,
F_014952,2021,3,15,10,,35.62860799980088,127.53777399974645,전북특별자치도,장수군,장수읍,동촌리,산55-1,,,
F_014953,2021,3,16,15,,36.088222937037024,126.92890145347342,전북특별자치도,익산시,성당면,갈산리,산58-1,,,
F_014954,2021,3,17,17,,35.64777899983681,127.52208800021184,전북특별자치도,장수군,장수읍,장수리,195,,,
F_014955,2021,3,18,10,,35.58898800037506,127.42611199987513,전북특별자치도,장수군,산서면,마하리,산37,,,
