메타데이터,그룹,n,비중_pct,중앙값_강수부족_score,중앙값_강풍_score,중앙값_산지접근성_score,중앙값_생활권접점_score,중앙값_선행건조_score,중앙값차_sd_강수부족_score,중앙값차_sd_강풍_score,중앙값차_sd_산지접근성_score,중앙값차_sd_생활권접점_score,중앙값차_sd_선행건조_score,판정_강수부족_score,판정_강풍_score,판정_산지접근성_score,판정_생활권접점_score,판정_선행건조_score,평균_강수부족_score,평균_강풍_score,평균_산지접근성_score,평균_생활권접점_score,평균_선행건조_score,평균차_sd_강수부족_score,평균차_sd_강풍_score,평균차_sd_산지접근성_score,평균차_sd_생활권접점_score,평균차_sd_선행건조_score
L2_NAME,교통지역,1,0.03745318352059925,-0.012950252178446265,0.9127634569700879,1.068111499161798,0.7125490660345472,0.830637904722545,-0.15708737690083796,1.0690812715793765,1.4684210874037538,0.4736137741279073,0.754718341033894,전체 평균과 큰 차이 작음,높음,높음,높음,높음,-0.012950252178446265,0.9127634569700879,1.068111499161798,0.7125490660345472,0.830637904722545,-0.01327224272195449,0.9663589802193127,1.3028007600509106,0.7500853514253119,0.8466433405910905
L2_NAME,기타재배지,1,0.03745318352059925,-0.3947831208275242,0.6566391690362495,-0.09589150072135971,0.2828849147787235,-0.5196200311104271,-0.5484140045293924,0.7979179117766707,0.04865920473573164,0.021315397423618394,-0.6215575102771684,낮음,높음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음,-0.3947831208275242,0.6566391690362495,-0.09589150072135971,0.2828849147787235,-0.5196200311104271,-0.4045988703505089,0.6951956204166067,-0.1169611226171115,0.297786974721023,-0.529632510719972
L2_NAME,내륙수,2,0.0749063670411985,0.042217563456395026,-0.5858338571854272,0.973622532087999,-0.29256383063567665,0.7276020423171567,-0.1005478879815191,-0.5175104803230912,1.3531706681200235,-0.584447342303961,0.6496970962151659,전체 평균과 큰 차이 작음,낮음,높음,낮음,높음,0.042217563456395026,-0.5858338571854272,0.973622532087999,-0.29256383063567665,0.7276020423171567,0.04326724619736438,-0.6202327716831552,1.1875503407671806,-0.30797576500655643,0.7416220957723623
L2_NAME,내륙습지,55,2.0599250936329585,0.11851475504795002,0.10269315563490285,-0.2812026043693225,0.1308650292583509,0.27981424321351067,-0.022353669687302555,0.21144537004714162,-0.1773691142814275,-0.1387127251150418,0.1932809418913658,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,-0.05626354179614942,0.20150706387134779,-0.1651241845202627,0.09518694825650553,0.19029764854997255,-0.05766245883289951,0.21333912884297795,-0.20140585815675968,0.10020128990053614,0.19396446509239726
L2_NAME,논,23,0.8614232209737828,0.1611997383768433,0.1362091662404077,-0.4492255872372794,-0.08301416265584732,0.11240779530244024,0.021392618146887032,0.24692936930503118,-0.3823107050780605,-0.3638588329084733,0.022648764512872826,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,-0.15885353144005765,0.24023275231862587,-0.2660472492162284,-0.1650766896228749,-0.14320610779757106,-0.1628032101198065,0.254338707113155,-0.3245040978964802,-0.17377274443286955,-0.14596552457990974
L2_NAME,도로,847,31.722846441947567,0.12233636343319414,-0.074199656047914,-0.39260533501127687,0.8921759248030698,0.04340538916578182,-0.01843704216698026,0.02416578977847653,-0.3132496494745982,0.6627031742932001,-0.04768323852746233,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,높음,전체 평균과 큰 차이 작음,-0.0022826671609778694,0.05988903412105995,-0.15801714411338286,0.87186174343574,-0.0643196822976259,-0.002339422599380473,0.06340559046005245,-0.19273723353183836,0.9177904419392995,-0.0655590485055089
L2_NAME,문화·체육·휴양지역,53,1.9850187265917603,0.1581591516530937,-0.8527450506285792,-0.27558736431827796,0.5148305191096082,0.2800706441561216,0.018276431337650806,-0.8000941297179165,-0.1705200736970784,0.26547963597116114,0.19354228338487173,전체 평균과 큰 차이 작음,낮음,낮음,높음,전체 평균과 큰 차이 작음,0.15231566664518273,-0.8619186279591645,-0.3664042352080253,0.45443753614465754,0.058245688031953714,0.1561027901399299,-0.9125286513019802,-0.4469118781040091,0.478376795715836,0.059368015365096755
L2_NAME,미분류,46,1.7228464419475655,0.1445621354074254,0.6489432749851318,-0.5946605831972414,0.3691690277347952,0.3128074965151767,0.004341343632778111,0.7897701312423786,-0.5597011960739243,0.11214486064817399,0.22690993718940858,전체 평균과 큰 차이 작음,높음,낮음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,0.12979886380584835,0.460388441842344,-0.5353776335852833,-0.2685124013781854,0.15322050481867122,0.133026137385366,0.4874214691288914,-0.6530127130889628,-0.2826573334390499,0.15617288749911318
L2_NAME,밭,203,7.602996254681647,0.1318133840146988,-0.13168347500138847,0.4950008651187536,-0.48529281476514774,-0.3928512219064557,-0.008724388258353533,-0.03669335640972545,0.7693845446734571,-0.7873290730949585,-0.4923460121057055,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음,전체 평균과 큰 차이 작음,-0.1124195500922978,-0.04202980526922595,0.1996488049116427,-0.5460763264709226,-0.12143480528049956,-0.1152147104904414,-0.04449770578415752,0.24351635104224606,-0.5748430147070408,-0.12377471413497876
L2_NAME,상업지역,145,5.430711610486892,0.0479748362732081,0.13857308327548382,-0.3862711835619035,0.5275874952076145,-0.0062824973687684435,-0.09464746834579728,0.2494320905061212,-0.30552373572027847,0.2789086352579744,-0.09832855341539114,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음,높음,전체 평균과 큰 차이 작음,-0.1714119889257239,0.09537384809132343,-0.2524207229757951,0.5459089372943126,-0.12464524781758629,-0.17567391670268834,0.10097399701677943,-0.30788350280240845,0.5746668076564005,-0.12704701820263717
