fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,상대강수부족_score,상대강풍_score,단기상대건조_score
F_007656,2020-02-17 16:00:00,YS_0003,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,16,산불위험계절(11~5월),오후(14~17시),시가화건조지역,상업지역,도로/시가화/농업 인접,입산활동 발화 후보,-1.5297104574670695,0.06864857154337213,-2.7233024387975435
F_007657,2020-02-18 14:00:00,YS_0071,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),2,14,산불위험계절(11~5월),오후(14~17시),시가화건조지역,도로,도로/시가화/농업 인접,입산활동 발화 후보,-0.2645583147958744,-0.2504063595460014,-0.6984568216438145
F_007658,2020-02-20 13:00:00,YD_0015,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,2,13,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,주거지역,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.2434540469365568,-1.7467317127137096,-0.9612454121905782
F_007659,2020-02-23 15:00:00,YS_0028,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,15,산불위험계절(11~5월),오후(14~17시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.460060235707105,0.22781399270523103,-1.288490694487964
F_007660,2020-02-24 13:00:00,YS_0009,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),2,13,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.40797319225421086,-0.8520439941409519,-0.6698271940847731
F_007661,2020-02-24 13:00:00,YS_0009,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),2,13,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.4715292588050292,-0.9303001159969061,0.21149574084058864
F_007662,2020-02-24 13:00:00,YS_0009,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,13,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.41839036851053074,-0.7702962976137974,0.31397490723032706
F_007663,2020-02-24 17:00:00,YD_0018,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,2,17,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.09973980034587958,-0.46539735731757503,-0.42443414677375296
F_007664,2020-02-24 17:00:00,YD_0018,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,2,17,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.28874905870327333,-0.9727581456595122,-0.5106462048096934
F_007665,2020-02-24 17:00:00,YD_0006,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,2,17,산불위험계절(11~5월),오후(14~17시),시가화건조지역,주거지역,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.11069587587640338,-0.23808276283080215,0.02688863611782997
