메타데이터,요인점수,검정그룹수,검정표본수,Kruskal_H,p_value,epsilon_sq,최대평균,최소평균,평균범위,최대_abs_평균차_sd,p_fdr_bh,검정판정
발생시간대구분,선행건조_score,5,2670,54.060615678500874,5.111099417615626e-11,0.018784471173921527,0.07899958338633752,-0.3121292181426864,0.3911288015290239,0.31814358873097626,7.419337864280747e-11,FDR 0.05 기준 유의
발생시간대구분,강풍_score,5,2670,120.27741744903243,4.6602253092635285e-25,0.04363130110657877,0.47182899030699865,-0.24672102544590854,0.7185500157529072,0.49953378219645495,8.065774573725338e-25,FDR 0.05 기준 유의
발생시간대구분,강수부족_score,5,2670,145.99480860630388,1.4684075323730316e-30,0.05328135407365999,0.044819585884289526,-0.3300097456708378,0.3748293315551273,0.33821499263494,2.753264123199434e-30,FDR 0.05 기준 유의
발생시간대구분,산지접근성_score,5,2670,19.100612553905073,0.0007509650941352493,0.005666271127168883,0.18207842529440832,-0.04514130246766104,0.22721972776206936,0.22208534506798264,0.0008664981855406723,FDR 0.05 기준 유의
산불위험계절,생활권접점_score,2,2670,3.714744460026411,0.0539338798651924,0.0010175204123037522,0.03504459502515729,-0.011927829029646909,0.0469724240548042,0.03689070497459381,0.057786299855563286,유의하지 않음
산불위험계절,선행건조_score,2,2670,437.6143274368212,3.5781923619423084e-97,0.16364854851455068,0.19276996325943388,-0.5663683876294874,0.7591383508889212,0.5772816542341498,1.3418221357283658e-96,FDR 0.05 기준 유의
산불위험계절,강풍_score,2,2670,659.1397650832213,2.2983359779351007e-145,0.24667907237002296,0.25407749553669523,-0.7464931727272817,1.0005706682639768,0.7903256595438564,1.0342511900707953e-144,FDR 0.05 기준 유의
산불위험계절,강수부족_score,2,2670,170.27694341927833,6.436941526570378e-39,0.06344713021712081,0.05282480963378574,-0.017979528580174025,0.07080433821395976,0.054138227236031976,1.3793446128365096e-38,FDR 0.05 기준 유의
산불위험계절,산지접근성_score,2,2670,5.675711446187135,0.017201362842517335,0.0017525155345528992,0.03819570059502445,-0.11222099643847898,0.15041669703350344,0.13687859326339322,0.019351533197832,FDR 0.05 기준 유의
L1_NAME,생활권접점_score,7,2668,1788.1962328698226,0.0,0.6697467992746421,0.782697363567062,-1.3050782908610457,2.087775654428108,1.3738283510578497,0.0,FDR 0.05 기준 유의
L1_NAME,선행건조_score,7,2668,48.48200436974572,9.46522275813356e-09,0.01596467657637945,0.24471395675758792,-0.10180817532359193,0.3465221320811799,0.24942931289382145,1.2527500709294417e-08,FDR 0.05 기준 유의
L1_NAME,강풍_score,7,2668,24.31266031558816,0.0004574190895781891,0.006881871595485968,0.460388441842344,-0.10532816077485163,0.5657166026171956,0.4874214691288914,0.0005563205143518516,FDR 0.05 기준 유의
L1_NAME,강수부족_score,7,2668,176.1622465418747,2.2153905670709815e-35,0.06394672925286536,0.12979886380584835,-0.24731735611306863,0.377116219918917,0.2534665684076674,4.531480705372463e-35,FDR 0.05 기준 유의
L1_NAME,산지접근성_score,7,2668,281.4846909143535,7.557303224155136e-58,0.10352675344395096,0.49744647395305536,-0.5353776335852833,1.0328241075383386,0.6530127130889628,2.4291331791927223e-57,FDR 0.05 기준 유의
L2_NAME,생활권접점_score,18,2666,1904.175282147689,0.0,0.7126794872158946,0.87186174343574,-1.4150988990458837,2.2869606424816236,1.4896447214498778,0.0,FDR 0.05 기준 유의
L2_NAME,선행건조_score,18,2666,83.914108937474,7.675226778317555e-11,0.025269678601765103,0.7298603277663848,-0.7863535490072194,1.5162138767736042,0.8015056763386134,1.0793287657009062e-10,FDR 0.05 기준 유의
L2_NAME,강풍_score,18,2666,134.1341296619367,2.988052818820006e-20,0.04423494322580691,0.6002617107554976,-0.8619186279591645,1.4621803387146621,0.9125286513019802,4.636633684375871e-20,FDR 0.05 기준 유의
L2_NAME,강수부족_score,18,2666,262.27164324135384,6.4494075869775085e-46,0.09262524291591913,0.18210492029762274,-0.2691871048373525,0.45129202513497524,0.2758800789198368,1.612351896744377e-45,FDR 0.05 기준 유의
L2_NAME,산지접근성_score,18,2666,320.0246413521065,8.169567498328775e-58,0.11443528751967769,1.0720562462240242,-0.5353776335852833,1.6074338798093075,1.3076122609802705,2.4508702494986326e-57,FDR 0.05 기준 유의
원인프록시_500m,생활권접점_score,2,2670,0.5692503824072568,0.45055694827332415,0.0,0.001586165902225117,-0.003220943018252852,0.004807108920477969,0.0033906186828823364,0.47151308540231596,유의하지 않음
원인프록시_500m,선행건조_score,2,2670,20.010326268702492,7.702508658754426e-06,0.007125309695915477,0.05379174356113822,-0.10923204225979159,0.1630237858209298,0.11133681792345855,9.628135823443031e-06,FDR 0.05 기준 유의
원인프록시_500m,강풍_score,2,2670,21.232628014778186,4.067804684235793e-06,0.007583443783649994,0.08435591797436803,-0.041541399516723414,0.12589731749109145,0.089309117544838,5.230034594017448e-06,FDR 0.05 기준 유의
원인프록시_500m,강수부족_score,2,2670,0.3941890156783683,0.5301056551219456,0.0,0.03270216555743239,-0.06640655412286772,0.0991087196803001,0.0680576634727008,0.5301056551219456,유의하지 않음
원인프록시_500m,산지접근성_score,2,2670,4.435736863189547,0.035194024618044974,0.0012877574449735932,0.1497634239100319,-0.07375157991321304,0.22351500382324493,0.18266997654358244,0.038627587995415213,FDR 0.05 기준 유의
