메타데이터,그룹,n,score_n,비중_pct,요인점수,평균,중앙값,표준편차,최소,최대,전체평균,평균차,평균차_sd,전체중앙값,중앙값차,중앙값차_sd,abs_평균차_sd,판정
L2_NAME,자연나지,11,11,0.41198501872659177,강풍_score,0.3826960873873961,0.890832846323675,0.7765710253544821,-0.7495495039785949,1.3766458416276341,1.0644834992660677e-17,0.3826960873873961,0.4051671853398097,-0.09702517976127435,0.9878580260849493,1.0458629422542698,0.4051671853398097,높음
L2_NAME,자연나지,11,11,0.41198501872659177,산지접근성_score,1.0720562462240242,0.5477808714738311,1.4305380631847047,-0.5819474909218215,3.2921957243618585,-3.1934504977982034e-17,1.0720562462240242,1.3076122609802705,-0.13578513427763134,0.6835660057514625,0.8337615619126197,1.3076122609802705,높음
L2_NAME,혼효림,50,50,1.8726591760299627,산지접근성_score,0.7054812756242238,0.5751046578415009,0.7446334195728941,-0.9157516957736747,3.2970278367493377,-3.1934504977982034e-17,0.7054812756242238,0.8604921328964167,-0.13578513427763134,0.7108897921191322,0.8670890278889751,0.8604921328964167,높음
L2_NAME,활엽수림,170,170,6.367041198501873,산지접근성_score,0.5217978256542418,0.4532072416683214,0.9490531695164768,-1.0230112515205256,3.431029342885773,-3.1934504977982034e-17,0.5217978256542418,0.6364491014175315,-0.13578513427763134,0.5889923759459528,0.7184078775003826,0.6364491014175315,높음
L2_NAME,도로,847,847,31.722846441947567,생활권접점_score,0.87186174343574,0.8921759248030698,0.17846250428408683,0.2836209761403043,1.4940231235037063,0.0,0.87186174343574,0.9177904419392995,0.2626361970861386,0.6295397277169312,0.6627031742932001,0.9177904419392995,높음
L2_NAME,상업지역,145,145,5.430711610486892,생활권접점_score,0.5459089372943126,0.5275874952076145,0.2528760606731313,-0.2534503407187855,1.0647860828667823,0.0,0.5459089372943126,0.5746668076564005,0.2626361970861386,0.2649512981214759,0.2789086352579744,0.5746668076564005,높음
L2_NAME,주거지역,50,50,1.8726591760299627,생활권접점_score,0.5135421352233894,0.537049970146755,0.25063377251958996,0.03600102869828378,0.9742602097909078,0.0,0.5135421352233894,0.5405949587646574,0.2626361970861386,0.27441377306061643,0.28886958276096963,0.5405949587646574,높음
L2_NAME,과수원,12,12,0.44943820224719105,선행건조_score,0.7298603277663848,1.4056474988585796,1.3152658067838627,-3.0599575895854794,1.4063509845502324,-3.1934504977982034e-17,0.7298603277663848,0.7439238957815748,0.09018719614625645,1.3154603027123233,1.3408077078728335,0.7439238957815748,높음
L2_NAME,활엽수림,170,170,6.367041198501873,선행건조_score,0.34045250768918195,0.5098666634543811,0.924320892572768,-2.6278405269966667,1.5562164624854748,-3.1934504977982034e-17,0.340452507689182,0.3470126354501765,0.09018719614625645,0.41967946730812467,0.4277662073438918,0.3470126354501765,높음
L2_NAME,침엽수림,217,217,8.127340823970037,선행건조_score,0.250635621159892,0.30445563292382155,0.9328007428595945,-4.234102907424951,1.5089262142177102,-3.1934504977982034e-17,0.2506356211598921,0.25546508094982023,0.09018719614625645,0.2142684367775651,0.2183971428045822,0.25546508094982023,전체 평균과 큰 차이 작음
addr_type,임야번지(산),699,699,26.179775280898877,강수부족_score,0.08295850487985663,0.1665169488802096,0.3484144989374561,-4.51236272239507,0.3109119780583704,3.1934504977982034e-17,0.0829585048798566,0.0850211561477099,0.14032611471253795,0.02619083416767165,0.02684203391362079,0.0850211561477099,전체 평균과 큰 차이 작음
addr_type,일반번지,1971,1971,73.82022471910112,강수부족_score,-0.029420596098944554,0.1318133840146988,1.1151517405688247,-31.964313861167327,0.3849985279608145,3.1934504977982034e-17,-0.029420596098944585,-0.03015209951661554,0.14032611471253795,-0.008512730697839144,-0.008724388258353533,0.03015209951661554,전체 평균과 큰 차이 작음
addr_type,일반번지,1971,1971,73.82022471910112,강풍_score,0.006209189520743313,-0.10044140269769604,0.9423000491009638,-1.8801823148768573,4.559097189271202,1.0644834992660677e-17,0.006209189520743303,0.006573779885066736,-0.09702517976127435,-0.0034162229364216867,-0.0036168162603714684,0.006573779885066736,전체 평균과 큰 차이 작음
addr_type,임야번지(산),699,699,26.179775280898877,강풍_score,-0.017508315515572286,-0.06266864556195409,0.9512818764747109,-1.8752294866557995,3.6390256006669266,1.0644834992660677e-17,-0.017508315515572297,-0.01853636645703365,-0.09702517976127435,0.03435653419932026,0.03637387660427897,0.01853636645703365,전체 평균과 큰 차이 작음
addr_type,임야번지(산),699,699,26.179775280898877,산지접근성_score,0.3834978878809675,0.20120764459325305,0.894465648720297,-1.544114268105195,3.490896821161089,-3.1934504977982034e-17,0.38349788788096756,0.46776140899271473,-0.13578513427763134,0.3369927788708844,0.4110380318807443,0.46776140899271473,높음
addr_type,일반번지,1971,1971,73.82022471910112,산지접근성_score,-0.13600457819827316,-0.2551089978220242,0.745989348060162,-1.385467000726593,4.497850542395713,-3.1934504977982034e-17,-0.13600457819827313,-0.165887988272911,-0.13578513427763134,-0.11932386354439284,-0.14554212761480412,0.165887988272911,전체 평균과 큰 차이 작음
addr_type,일반번지,1971,1971,73.82022471910112,생활권접점_score,0.3170786020138521,0.5734718570063135,0.7156707601826718,-2.8842366052307087,1.4940231235037063,0.0,0.3170786020138521,0.33378194703784175,0.2626361970861386,0.3108356599201749,0.3272101337586189,0.33378194703784175,높음
addr_type,임야번지(산),699,699,26.179775280898877,생활권접점_score,-0.8940800065369134,-0.9353762538883862,0.9595129885356013,-3.4153378903179794,1.0027218762768177,0.0,-0.8940800065369134,-0.9411791382140002,0.2626361970861386,-1.1980124509745247,-1.2611224028431431,0.9411791382140002,낮음
addr_type,임야번지(산),699,699,26.179775280898877,선행건조_score,0.03861191335378543,0.2505408214704596,1.151055034943517,-3.4182948455370052,1.668650151461462,-3.1934504977982034e-17,0.038611913353785464,0.03935592045896601,0.09018719614625645,0.16035362532420314,0.16344345502234653,0.03935592045896601,전체 평균과 큰 차이 작음
addr_type,일반번지,1971,1971,73.82022471910112,선행건조_score,-0.013693418282240574,0.07836931539964367,0.9131943089514172,-4.3640072721620555,2.015425165126857,-3.1934504977982034e-17,-0.013693418282240542,-0.013957274683316747,0.09018719614625645,-0.011817880746612774,-0.012045597699230306,0.013957274683316747,전체 평균과 큰 차이 작음
기후권역,영동,973,973,36.44194756554307,강수부족_score,0.045429202907979464,0.15833779426187408,1.510556081853427,-31.964313861167327,0.2948948143666732,3.1934504977982034e-17,0.04542920290797943,0.04655873872967022,0.14032611471253795,0.018011679549336135,0.018459515653812823,0.04655873872967022,전체 평균과 큰 차이 작음
기후권역,영서,1697,1697,63.558052434456926,강수부족_score,-0.026047504083361196,0.12394752809829729,0.43438535626763985,-5.485520075401467,0.3849985279608145,3.1934504977982034e-17,-0.026047504083361227,-0.026695140120193955,0.14032611471253795,-0.01637858661424066,-0.01678581806681366,0.026695140120193955,전체 평균과 큰 차이 작음
기후권역,영동,973,973,36.44194756554307,강풍_score,0.5779152050452392,0.7351026434068552,0.7625250680100394,-1.2929956106624876,3.6390256006669266,1.0644834992660677e-17,0.5779152050452392,0.6118491531799504,-0.09702517976127435,0.8321278231681295,0.8809885939980421,0.6118491531799504,높음
기후권역,영서,1697,1697,63.558052434456926,강풍_score,-0.33135621361757084,-0.5061952528481591,0.8770862975190489,-1.8801823148768573,4.559097189271202,1.0644834992660677e-17,-0.33135621361757084,-0.3508127436912738,-0.09702517976127435,-0.4091700730868848,-0.4331956670099923,0.3508127436912738,낮음
기후권역,영서,1697,1697,63.558052434456926,산지접근성_score,0.26425654160042883,0.1505580270087522,0.8348942233717783,-1.2110971362911664,4.497850542395713,-3.1934504977982034e-17,0.2642565416004289,0.3223199296287261,-0.13578513427763134,0.28634316128638354,0.34925950001664713,0.3223199296287261,높음
기후권역,영동,973,973,36.44194756554307,산지접근성_score,-0.46088730842335857,-0.6306906730431916,0.5430383474946481,-1.544114268105195,2.907617575058715,-3.1934504977982034e-17,-0.4608873084233585,-0.5621551085097104,-0.13578513427763134,-0.49490553876556026,-0.6036479455217515,0.5621551085097104,낮음
기후권역,영동,973,973,36.44194756554307,생활권접점_score,0.19660579160688327,0.5477957026943193,0.8432991346259047,-3.1173343224944197,1.4347886286817508,0.0,0.19660579160688327,0.2069627641369341,0.2626361970861386,0.2851595056081807,0.3001813884435153,0.2069627641369341,전체 평균과 큰 차이 작음
기후권역,영서,1697,1697,63.558052434456926,생활권접점_score,-0.11272683278343985,0.12380436233502709,0.9887755584291348,-3.4153378903179794,1.4940231235037063,0.0,-0.11272683278343985,-0.11866515586637413,0.2626361970861386,-0.13883183475111152,-0.14614534005053262,0.11866515586637413,전체 평균과 큰 차이 작음
기후권역,영동,973,973,36.44194756554307,선행건조_score,0.1820923581491674,0.28125043722474286,1.1092597041678809,-4.3640072721620555,1.7519523828871082,-3.1934504977982034e-17,0.18209235814916744,0.18560106819471037,0.09018719614625645,0.1910632410784864,0.19474480970728578,0.18560106819471037,전체 평균과 큰 차이 작음
기후권역,영서,1697,1697,63.558052434456926,선행건조_score,-0.10440534147268118,-0.00024673950073360524,0.8829745913640416,-4.234102907424951,2.015425165126857,-3.1934504977982034e-17,-0.10440534147268116,-0.10641711217056758,0.09018719614625645,-0.09043393564699005,-0.09217649344396604,0.10641711217056758,전체 평균과 큰 차이 작음
