메타데이터,그룹,요인점수,n,평균,중앙값,표준편차,p25,p75,평균차_sd,중앙값차_sd
기후지형유형,고지·산간형,단기상대건조_score,621,-0.015091945327964373,0.06594891691075651,0.9035235461077135,-0.5730117211534899,0.6347230849602575,-0.015379649878064429,0.04970321713268269
기후지형유형,영동 해안형,단기상대건조_score,1218,0.06455556230748981,0.05321015132635776,1.072267818015185,-0.5254169344947561,0.72703858078275,0.06578630507691705,0.03672159216661628
기후지형유형,영서 내륙형,단기상대건조_score,1556,-0.04450940507439009,-0.03603425752860531,0.9336391499915608,-0.6153550004855866,0.5185259067275977,-0.045357941522755074,-0.05422422502404586
기후지형유형,고지·산간형,상대강수부족_score,621,-0.07439978164280907,-0.12330010624739884,0.5084223051751426,-0.27738097137172674,0.08162729244311581,-0.07807077537656688,0.0222826473804035
기후지형유형,영동 해안형,상대강수부족_score,1218,0.036629588274944565,-0.13479231539168596,0.9632199888126101,-0.2541624571258584,0.2409621995341699,0.03843694123199415,0.010223396326553998
기후지형유형,영서 내륙형,상대강수부족_score,1556,0.0010202026433109646,-0.15750082579419294,1.072536054882379,-0.2844230316995614,0.11104499203745263,0.0010705379744724356,-0.01360558420839537
기후지형유형,고지·산간형,상대강풍_score,621,-0.0618861651316581,-0.3075484413338383,1.0508905580384569,-0.7306258022582363,0.6270282504604948,-0.06682057907647229,-0.2198549936246409
기후지형유형,영동 해안형,상대강풍_score,1218,0.12968501243933464,0.16829431944615258,0.9180663156729547,-0.3390814866714196,0.6147818847811877,0.14002528442418316,0.29392848879717665
기후지형유형,영서 내륙형,상대강풍_score,1556,-0.07681557881608865,-0.23338172076928218,0.8672695832617127,-0.6716211335345704,0.33132840720209517,-0.08294037070833274,-0.1397746832527828
산불위험계절,기타계절,단기상대건조_score,830,0.24072861323072522,0.30907632399820584,0.9225844153398648,-0.3560028049932776,0.9198576398257563,0.2453180235201924,0.2974657492925357
산불위험계절,산불위험계절(11~5월),단기상대건조_score,2565,-0.07789661069606094,-0.07627627864760031,0.987417959195617,-0.6347028757458105,0.5231060523005258,-0.07938166063226501,-0.0952334438986841
산불위험계절,기타계절,상대강수부족_score,830,0.07346006217449268,-0.051818458843945536,1.6068971919860764,-0.20770591868527002,0.2563446898862391,0.07708468298560575,0.09729130071747828
산불위험계절,산불위험계절(11~5월),상대강수부족_score,2565,-0.023770698702978165,-0.1704891664407487,0.604432066425041,-0.28937744101418983,0.1000106728058412,-0.02494358162887049,-0.02723478801622862
산불위험계절,기타계절,상대강풍_score,830,-0.3921033118656436,-0.42789559656927467,0.5165642774842174,-0.7235740693656422,-0.08394731518007242,-0.4233671730107381,-0.3497978773097206
산불위험계절,산불위험계절(11~5월),상대강풍_score,2565,0.1268794326764133,0.08308083337620417,0.9917740931052985,-0.5191399806203967,0.7328213247218365,0.13699600530172032,0.20192061302208694
