메타데이터,그룹,n,score_n,비중_pct,요인점수,평균,중앙값,표준편차,최소,최대,전체평균,평균차,평균차_sd,전체중앙값,중앙값차,중앙값차_sd,abs_평균차_sd,판정,토지피복해석판정,방향
L2_NAME,미분류,46,46,1.7228464419475655,산지접근성_score,-0.5353776335852833,-0.5946605831972414,0.767401294816183,-1.544114268105195,1.5763700481379415,-3.1934504977982034e-17,-0.5353776335852833,-0.6530127130889628,-0.13578513427763134,-0.45887544891961,-0.5597011960739243,0.6530127130889628,낮음,낮음,낮음
L2_NAME,미분류,46,46,1.7228464419475655,강풍_score,0.460388441842344,0.6489432749851318,1.075265436538439,-1.1538744890231976,2.2582742929000927,1.0644834992660677e-17,0.460388441842344,0.4874214691288914,-0.09702517976127435,0.7459684547464062,0.7897701312423786,0.4874214691288914,높음,높음,높음
L2_NAME,밭,203,203,7.602996254681647,생활권접점_score,-0.5460763264709226,-0.48529281476514774,0.5442384011192561,-1.8892298263154605,0.756720867549159,0.0,-0.5460763264709226,-0.5748430147070408,0.2626361970861386,-0.7479290118512864,-0.7873290730949585,0.5748430147070408,낮음,낮음,낮음
L2_NAME,밭,203,203,7.602996254681647,산지접근성_score,0.1996488049116427,0.4950008651187536,0.7074136725053796,-1.2752946088541508,1.6863382123554984,-3.1934504977982034e-17,0.19964880491164272,0.24351635104224606,-0.13578513427763134,0.6307859993963849,0.7693845446734571,0.24351635104224606,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,높음
L2_NAME,상업지역,145,145,5.430711610486892,생활권접점_score,0.5459089372943126,0.5275874952076145,0.2528760606731313,-0.2534503407187855,1.0647860828667823,0.0,0.5459089372943126,0.5746668076564005,0.2626361970861386,0.2649512981214759,0.2789086352579744,0.5746668076564005,높음,높음,높음
L2_NAME,상업지역,145,145,5.430711610486892,산지접근성_score,-0.2524207229757951,-0.3862711835619035,0.7032219993074577,-1.2103213940110658,2.9196507581061453,-3.1934504977982034e-17,-0.25242072297579504,-0.30788350280240845,-0.13578513427763134,-0.25048604928427215,-0.30552373572027847,0.30788350280240845,낮음,낮음,낮음
L2_NAME,시설재배지,11,11,0.41198501872659177,산지접근성_score,-0.24273460098670308,-0.18738815385601731,0.4310255819985329,-0.9088960724077061,0.286758087380637,-3.1934504977982034e-17,-0.24273460098670305,-0.2960691116089444,-0.13578513427763134,-0.05160301957838598,-0.06294141873802585,0.2960691116089444,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음
L2_NAME,시설재배지,11,11,0.41198501872659177,선행건조_score,0.23990030899158654,0.2071635752578454,0.6267041779526914,-0.8167714285885478,1.1108903807307926,-3.1934504977982034e-17,0.23990030899158657,0.24452291167872456,0.09018719614625645,0.11697637911158895,0.11923037922807844,0.24452291167872456,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,높음
L2_NAME,인공나지,172,172,6.441947565543071,생활권접점_score,-0.27604949245607796,-0.36642247701540703,0.5790947660641903,-2.0139448117922996,1.1193875097570491,0.0,-0.27604949245607796,-0.2905914700190725,0.2626361970861386,-0.6290586741015456,-0.6621967793130495,0.2905914700190725,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음
L2_NAME,인공나지,172,172,6.441947565543071,강수부족_score,-0.2691871048373525,0.13048713524304983,3.459297572976697,-31.964313861167327,0.2872709336622462,3.1934504977982034e-17,-0.26918710483735253,-0.2758800789198368,0.14032611471253795,-0.009838979469488113,-0.01008361241588117,0.2758800789198368,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음
L2_NAME,인공초지,558,558,20.89887640449438,생활권접점_score,-0.23620553968991673,-0.3103045433969076,0.6816758473311175,-2.7784640182708205,1.1644329703988077,0.0,-0.23620553968991673,-0.2486485825220723,0.2626361970861386,-0.5729407404830462,-0.6031226159101695,0.2486485825220723,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음
L2_NAME,인공초지,558,558,20.89887640449438,산지접근성_score,-0.09785892228452031,-0.11208128595725321,0.7378915797102823,-1.304976804317694,3.4686124112424523,-3.1934504977982034e-17,-0.09785892228452028,-0.11936083304981222,-0.13578513427763134,0.023703848320378126,0.028912142254955912,0.11936083304981222,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음
L2_NAME,자연나지,11,11,0.41198501872659177,산지접근성_score,1.0720562462240242,0.5477808714738311,1.4305380631847047,-0.5819474909218215,3.2921957243618585,-3.1934504977982034e-17,1.0720562462240242,1.3076122609802705,-0.13578513427763134,0.6835660057514625,0.8337615619126197,1.3076122609802705,높음,높음,높음
L2_NAME,자연나지,11,11,0.41198501872659177,선행건조_score,-0.7863535490072194,-0.8855661950996072,1.379667422609195,-2.871545278059205,1.4386986339551184,-3.1934504977982034e-17,-0.7863535490072194,-0.8015056763386134,0.09018719614625645,-0.9757533912458637,-0.994555035425969,0.8015056763386134,낮음,낮음,낮음
L2_NAME,자연초지,10,10,0.37453183520599254,생활권접점_score,-0.5551180617481204,-0.20534948736001335,1.0773643508252169,-2.3847301102969096,0.8803645931237524,0.0,-0.5551180617481204,-0.5843610584547294,0.2626361970861386,-0.46798568444615196,-0.492638645270202,0.5843610584547294,낮음,낮음,낮음
L2_NAME,자연초지,10,10,0.37453183520599254,선행건조_score,0.1222831285068086,-0.004788529023185065,0.73381277163065,-1.3304809793604382,1.0882681477726883,-3.1934504977982034e-17,0.12228312850680863,0.1246393835729371,0.09018719614625645,-0.09497572516944151,-0.09680579802022944,0.1246393835729371,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,높음
L2_NAME,주거지역,50,50,1.8726591760299627,생활권접점_score,0.5135421352233894,0.537049970146755,0.25063377251958996,0.03600102869828378,0.9742602097909078,0.0,0.5135421352233894,0.5405949587646574,0.2626361970861386,0.27441377306061643,0.28886958276096963,0.5405949587646574,높음,높음,높음
