source_index,fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,생활권접점_score,선행건조_score,강풍_score,강수부족_score,산지접근성_score
3118,F_010763,2020-03-07 01:00:00,YS_0013,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,3,1,산불위험계절(11~5월),야간(0~5시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.9819078558527062,0.43534220960489006,-1.0061868430167107,0.06929029856233479,0.15654816544228695
3120,F_010767,2020-03-08 13:00:00,YS_0065,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,13,산불위험계절(11~5월),한낮(10~13시),산림지역,활엽수림,도로/시가화/농업 인접,입산활동 발화 후보,-1.812574355788416,0.8065809921976723,-0.41601838989283174,0.15109661391449616,2.8393335074557213
3121,F_010768,2020-03-08 14:00:00,YS_0014,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,14,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.7178951527866834,0.5457280702771646,-0.638145114836249,0.13578192662626892,0.8309032711055223
3122,F_010769,2020-03-08 16:00:00,YS_0069,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,16,산불위험계절(11~5월),오후(14~17시),산림지역,활엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.0368700988177069,0.7047990332175079,-0.7138119175975588,0.2313728161421938,0.8825171883049855
3123,F_010770,2020-03-08 18:00:00,YS_0022,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,18,산불위험계절(11~5월),저녁(18~23시),나지,인공나지,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.3917640837863823,0.7775093624114983,-0.5617629207384371,0.12656122973045744,0.6394007895267448
3124,F_010771,2020-03-08 18:00:00,YD_0015,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,3,18,산불위험계절(11~5월),저녁(18~23시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.5115445455801806,-1.1788133052651188,-0.4690022327610008,0.14102486999755562,-0.08683362290516222
3125,F_010772,2020-03-08 18:00:00,YS_0037,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,18,산불위험계절(11~5월),저녁(18~23시),초지,인공초지,도로/시가화/농업 인접,입산활동 발화 후보,-0.33512834771069305,0.2801530014412446,-0.8541808542332251,0.22619142281961588,0.14356586644786215
3127,F_010775,2020-03-12 12:00:00,YS_0003,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,12,산불위험계절(11~5월),한낮(10~13시),나지,인공나지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.1201961721219311,0.10453428524695549,-0.7194440115312243,0.08911521889883742,-0.8413212915275303
3128,F_010778,2020-03-15 14:00:00,YS_0009,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,14,산불위험계절(11~5월),오후(14~17시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.913673224778091,0.6367177545411828,0.38150875747913904,0.16262215154920004,-0.3793366039344397
3129,F_010779,2020-03-15 14:00:00,YD_0006,영동,영동 해안형,임야번지(산),영동 해안형 / 임야번지(산),3,14,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.6866523655412022,1.2718643842198718,1.1367903267632082,0.16288282167818474,-0.9451359230752509
