fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,상대강수부족_score,상대강풍_score,단기상대건조_score,생활권접점_score,선행건조_score,강풍_score,강수부족_score,산지접근성_score
F_010425,2021-03-31 17:00:00,YS_0001,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,17,산불위험계절(11~5월),오후(14~17시),농업지역,밭,도로/시가화/농업 인접,입산활동 발화 후보,-0.33143608113334666,-1.0341243716318285,0.14931717125466268,-0.6336223690836627,1.1349371623381004,-0.9514726076706888,0.1195962244964913,0.5300379429238937
F_010427,2021-04-01 16:00:00,YD_0003,영동,영동 해안형,임야번지(산),영동 해안형 / 임야번지(산),4,16,산불위험계절(11~5월),오후(14~17시),나지,인공나지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.019337607568436357,-1.5171448368427718,-1.7809205320427648,-0.7733417709597454,-1.0363744934221744,-0.6736985617071175,0.2666267423978583,-1.0088410870666649
F_010429,2021-04-01 17:00:00,YS_0043,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,17,산불위험계절(11~5월),오후(14~17시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.8048970757658124,0.45379264375488687,-0.027990615817076563,0.4366684248614022,1.2614843000616998,0.636581565992814,0.047033884508599,1.4470716410243911
F_010430,2021-04-01 17:00:00,YS_0043,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,17,산불위험계절(11~5월),오후(14~17시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.06805572485499949,0.29480325067827706,-0.002055537377789187,0.4366684248614022,1.2614843000616998,0.636581565992814,0.047033884508599,1.4470716410243911
F_010431,2021-04-01 18:00:00,YD_0008,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,4,18,산불위험계절(11~5월),저녁(18~23시),시가화건조지역,도로,도로/시가화/농업 인접,입산활동 발화 후보,0.6055343616611718,-2.1106546402579824,-2.4405702304767303,1.0673141542566726,-1.6250390504592194,-0.5582475433811962,0.1433983557968982,-0.5760503779139378
F_010432,2021-04-02 08:00:00,YD_0005,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,4,8,산불위험계절(11~5월),아침(6~9시),나지,자연나지,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.2809165204339647,-0.8010542564408126,-2.3402773277468665,-0.194443447439255,-2.871545278059205,-0.3819061128612431,0.2840261084661575,-0.2711886445425547
F_010433,2021-04-02 10:00:00,YS_0005,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,4,10,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,주거지역,도로/시가화/농업 인접,입산활동 발화 후보,-0.1397517939653888,-0.29164888713042103,-0.7009556065554532,0.369272499858436,-0.080844414457264,-0.7580132149511772,0.123788519626538,1.2659323916299658
F_010435,2021-04-02 11:00:00,YS_0037,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,11,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,입산활동 발화 후보,-0.011316871810336,0.24363036035320376,-0.10886078036069029,1.2469631549893228,0.5631948572035919,0.0484509431917175,0.1916977704921317,-0.7332016132197516
F_010436,2021-04-02 11:00:00,YS_0037,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,11,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,입산활동 발화 후보,-0.20833984947499865,-0.17526431102025802,-0.684478730560432,1.2469631549893228,0.5631948572035919,0.0484509431917175,0.1916977704921317,-0.7332016132197516
F_010437,2021-04-02 15:00:00,YS_0020,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,4,15,산불위험계절(11~5월),오후(14~17시),나지,인공나지,도로/시가화/농업 인접,입산활동 발화 후보,-0.025704756961968153,-0.04256969163628408,0.2521020400008494,-0.8980399519363288,0.1142555051149929,0.1363053287604697,0.1397422272109511,1.9465891469659844
