메타데이터,그룹,n,score_n,비중_pct,요인점수,평균,중앙값,표준편차,최소,최대,전체평균,평균차,평균차_sd,전체중앙값,중앙값차,중앙값차_sd,abs_평균차_sd,판정,토지피복해석판정
L2_NAME,밭,203,203,7.602996254681647,생활권접점_score,-0.5460763264709226,-0.48529281476514774,0.5442384011192561,-1.8892298263154605,0.756720867549159,0.0,-0.5460763264709226,-0.5748430147070408,0.2626361970861386,-0.7479290118512864,-0.7873290730949585,0.5748430147070408,낮음,낮음
L2_NAME,상업지역,145,145,5.430711610486892,생활권접점_score,0.5459089372943126,0.5275874952076145,0.2528760606731313,-0.2534503407187855,1.0647860828667823,0.0,0.5459089372943126,0.5746668076564005,0.2626361970861386,0.2649512981214759,0.2789086352579744,0.5746668076564005,높음,높음
L2_NAME,주거지역,50,50,1.8726591760299627,생활권접점_score,0.5135421352233894,0.537049970146755,0.25063377251958996,0.03600102869828378,0.9742602097909078,0.0,0.5135421352233894,0.5405949587646574,0.2626361970861386,0.27441377306061643,0.28886958276096963,0.5405949587646574,높음,높음
L2_NAME,침엽수림,217,217,8.127340823970037,산지접근성_score,0.4304350920509349,0.5712921584310868,0.8161006513699643,-1.0650622784353425,3.3658686246358127,-3.1934504977982034e-17,0.43043509205093494,0.5250118227512837,-0.13578513427763134,0.7070772927087181,0.8624388325362625,0.5250118227512837,높음,높음
L2_NAME,자연나지,11,11,0.41198501872659177,생활권접점_score,-0.480355809891307,-0.33678381354055514,0.6533711282536068,-2.2316158785624225,0.15015603521500384,0.0,-0.480355809891307,-0.505660415045779,0.2626361970861386,-0.5994200106266938,-0.6309967842979233,0.505660415045779,낮음,낮음
L2_NAME,공공시설지역,33,33,1.2359550561797752,생활권접점_score,0.47172077656348904,0.46829135842956665,0.18878988917649933,0.23575854370397445,0.8777460996310898,0.0,0.47172077656348904,0.49657049784988505,0.2626361970861386,0.20565516134342804,0.2164888445187231,0.49657049784988505,높음,높음
L1_NAME,미분류,46,46,1.7228464419475655,강풍_score,0.460388441842344,0.6489432749851318,1.075265436538439,-1.1538744890231976,2.2582742929000927,1.0644834992660677e-17,0.460388441842344,0.4874214691288914,-0.09702517976127435,0.7459684547464062,0.7897701312423786,0.4874214691288914,높음,높음
L2_NAME,미분류,46,46,1.7228464419475655,강풍_score,0.460388441842344,0.6489432749851318,1.075265436538439,-1.1538744890231976,2.2582742929000927,1.0644834992660677e-17,0.460388441842344,0.4874214691288914,-0.09702517976127435,0.7459684547464062,0.7897701312423786,0.4874214691288914,높음,높음
L1_NAME,농업지역,250,250,9.363295880149813,생활권접점_score,-0.4621055840586863,-0.3480737700126796,0.5493776173516522,-1.8892298263154605,0.756720867549159,0.0,-0.4621055840586863,-0.48644878779120215,0.2626361970861386,-0.6107099670988182,-0.6428814830108106,0.48644878779120215,낮음,낮음
L2_NAME,문화·체육·휴양지역,53,53,1.9850187265917603,생활권접점_score,0.45443753614465754,0.5148305191096082,0.3152892996994262,-0.19764823124640749,0.9116057078723052,0.0,0.45443753614465754,0.478376795715836,0.2626361970861386,0.2521943220234696,0.26547963597116114,0.478376795715836,높음,높음
L2_NAME,문화·체육·휴양지역,53,53,1.9850187265917603,산지접근성_score,-0.3664042352080253,-0.27558736431827796,0.3982836363084151,-1.3326437612451725,1.6107630897164262,-3.1934504977982034e-17,-0.36640423520802523,-0.4469118781040091,-0.13578513427763134,-0.13980223004064662,-0.1705200736970784,0.4469118781040091,낮음,낮음
L2_NAME,자연나지,11,11,0.41198501872659177,강풍_score,0.3826960873873961,0.890832846323675,0.7765710253544821,-0.7495495039785949,1.3766458416276341,1.0644834992660677e-17,0.3826960873873961,0.4051671853398097,-0.09702517976127435,0.9878580260849493,1.0458629422542698,0.4051671853398097,높음,높음
L2_NAME,활엽수림,170,170,6.367041198501873,선행건조_score,0.34045250768918195,0.5098666634543811,0.924320892572768,-2.6278405269966667,1.5562164624854748,-3.1934504977982034e-17,0.340452507689182,0.3470126354501765,0.09018719614625645,0.41967946730812467,0.4277662073438918,0.3470126354501765,높음,높음
L2_NAME,논,23,23,0.8614232209737828,산지접근성_score,-0.2660472492162284,-0.4492255872372794,0.6656888187986109,-1.1799645971207153,0.646653884641062,-3.1934504977982034e-17,-0.26604724921622835,-0.3245040978964802,-0.13578513427763134,-0.31344045295964806,-0.3823107050780605,0.3245040978964802,낮음,낮음
L2_NAME,상업지역,145,145,5.430711610486892,산지접근성_score,-0.2524207229757951,-0.3862711835619035,0.7032219993074577,-1.2103213940110658,2.9196507581061453,-3.1934504977982034e-17,-0.25242072297579504,-0.30788350280240845,-0.13578513427763134,-0.25048604928427215,-0.30552373572027847,0.30788350280240845,낮음,낮음
L1_NAME,나지,183,183,6.853932584269663,생활권접점_score,-0.28833020006147425,-0.35465250338952475,0.5838742748704977,-2.2316158785624225,1.1193875097570491,0.0,-0.28833020006147425,-0.30351911152341005,0.2626361970861386,-0.6172887004756633,-0.649806776681275,0.30351911152341005,낮음,낮음
